,PIN,Sex.x,Region,Year,Major,Grade,IndGrd2,Academic.Interest.1,Academic.Interest.2,SAT,HSG
624,N369117425203,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",73.92285339,73.7584006425,Global Affairs,Psychology,730,D
625,N370117414203,F,East Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",76.00283203,74.7944475975,Psychology,"Philosophy, Politics and Economics",770,NA
626,N371117413203,F,North America,ay1718,LIFE SCIENCES,75.69309178,73.7196631525,Psychology,Arts & Humanities,800,NA
627,N372117412203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",68.90088027,66.9451318625,Undecided,"Mathematical, Computational and Statistical Sciences",780,NA
628,N373117410203,F,South Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",70.35969082,69.3503835725,"Mathematical, Computational and Statistical Sciences",Physical Sciences,680,NA
629,N374117408203,F,Other,ay1718,GLOBAL AFFAIRS,59.77056365,50.64611502,"Philosophy, Politics and Economics",Arts & Humanities,600,NA
630,N376117401203,F,Other,ay1718,LIFE SCIENCES,74.71963677,70.4349743375,Life Sciences,Environmental Studies,640,NA
631,N377117402203,M,Europe,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",79.26436343,82.8299071025,"Philosophy, Politics and Economics",Economics,770,NA
632,N378117425203,F,South Asia,ay1718,ECONOMICS,68.16943528,77.8985589525,"Philosophy, Politics and Economics",Economics,740,NA
633,N379117424203,F,Europe,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",74.89424229,79.2154766975,"Philosophy, Politics and Economics",NA,800,NA
634,N380117413203,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,70.16252993,65.224037065,Environmental Studies,Undecided,720,C
635,N381117412203,M,Other,ay1718,ECONOMICS,75.47694541,77.1354488025,Economics,Global Affairs,780,NA
636,N383117408203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",69.28703624,69.3181051175,"Mathematical, Computational and Statistical Sciences",Physical Sciences,770,A
637,N384117405203,F,East Asia,ay1718,ECONOMICS,78.04195978,74.78279771,"Philosophy, Politics and Economics",Life Sciences,800,NA
638,N385117401203,F,Singapore,ay1718,ECONOMICS,79.59556815,77.842417325,Economics,"Philosophy, Politics and Economics",750,A
639,N386117402203,M,South Asia,ay1718,ECONOMICS,69.1122462,65.9652871325,Environmental Studies,Physical Sciences,780,NA
640,N387117425203,M,Europe,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.38371964,87.578610585,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",760,NA
641,N388117424203,M,Singapore,ay1718,PSYCHOLOGY,78.3376146,75.1206505325,Psychology,"Philosophy, Politics and Economics",NA,C
642,N389117423203,F,Southeast Asia,ay1718,PSYCHOLOGY,74.50114366,66.56936191,"Mathematical, Computational and Statistical Sciences",Life Sciences,770,NA
643,N390117412203,F,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.76141269,71.2989015825,"Mathematical, Computational and Statistical Sciences",Physical Sciences,790,A
644,N391117410203,F,South Asia,ay1718,GLOBAL AFFAIRS,60.87000402,50.4538426475,Literature,Physical Sciences,690,NA
645,N392117408203,F,North America,ay1718,GLOBAL AFFAIRS,69.94147872,69.919991295,Arts & Humanities,Arts & Humanities,780,A
646,N393117405203,F,Singapore,ay1718,LIFE SCIENCES,81.03309355,87.083399075,Anthropology,Arts & Humanities,740,C
647,N394117401203,F,Europe,ay1718,LIFE SCIENCES,66.87796064,65.5151360675,Life Sciences,Physical Sciences,710,NA
648,N395117402203,F,Europe,ay1718,ARTS AND HUMANITIES,63.92244538,60.883039805,Arts & Humanities,Psychology,730,NA
649,N397117424203,F,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",68.2251571,62.0056174075,Undecided,Economics,780,NA
650,N399117421203,M,South Asia,ay1718,LITERATURE,77.41716,72.3995563675,"Mathematical, Computational and Statistical Sciences",Literature,710,NA
651,N300117402204,M,Other,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.0354063,61.6596682975,"Mathematical, Computational and Statistical Sciences",Physical Sciences,650,C
652,N301117425204,F,Europe,ay1718,PSYCHOLOGY,71.53757387,69.896162155,Psychology,Philosophy,690,NA
653,N302117424204,M,North America,ay1718,PHILOSOPHY,82.21033563,87.32756523,Economics,Physical Sciences,800,NA
654,N305117418204,F,East Asia,ay1718,GLOBAL AFFAIRS,74.6751534,75.5303800875,Psychology,Global Affairs,800,NA
655,N307117413204,F,Other,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",72.32308502,67.7381150625,"Mathematical, Computational and Statistical Sciences",Undecided,740,NA
656,N308117412204,M,North America,ay1718,ECONOMICS,77.08777091,83.34232336,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",800,NA
657,N309117410204,M,Singapore,ay1718,LIFE SCIENCES,80.10688302,76.9447948275,Life Sciences,Physical Sciences,760,B
658,N310117425204,F,Europe,ay1718,PHYSICAL SCIENCES,74.73807969,69.53475821,Physical Sciences,NA,780,NA
659,N311117424204,M,Southeast Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",79.27507253,79.4692481475,Undecided,Undecided,660,B
660,N312117423204,M,South Asia,ay1718,PHYSICAL SCIENCES,82.58960111,86.9166881925,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,NA
661,N313117421204,F,Europe,ay1718,GLOBAL AFFAIRS,79.37313166,83.6404374325,Psychology,Urban Studies,780,NA
662,N315117414204,M,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",59.7883052,60.8749045875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",740,NA
663,N316117413204,F,Singapore,ay1718,URBAN STUDIES,75.72872486,78.0072795825,Undecided,Anthropology,730,A
664,N318117410204,F,East Asia,ay1718,NA,47.5721058,63.80597,Life Sciences,Psychology,790,A
665,N319117408204,M,North America,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",70.68310708,72.569721385,Global Affairs,Economics,670,NA
666,N320117424204,F,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",59.05503051,44.9038324475,Global Affairs,"Philosophy, Politics and Economics",670,NA
667,N321117423204,M,Southeast Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",63.84328887,60.2951347375,Anthropology,Anthropology,620,NA
668,N322117421204,F,South Asia,ay1718,PHYSICAL SCIENCES,66.3143382,61.748132985,"Mathematical, Computational and Statistical Sciences",Economics,750,NA
669,N323117418204,M,South Asia,ay1718,ENVIRONMENTAL STUDIES,64.40156743,56.2701993775,Physical Sciences,Philosophy,680,NA
670,N324117414204,F,East Asia,ay1718,ENVIRONMENTAL STUDIES,82.69539677,89.2035609125,Psychology,Physical Sciences,800,NA
671,N325117413204,M,Other,ay1718,PHYSICAL SCIENCES,69.76998231,67.3156669225,Physical Sciences,Arts & Humanities,680,NA
672,N326117412204,M,South Asia,ay1718,ECONOMICS,64.0351786,57.9614183825,"Philosophy, Politics and Economics",Economics,710,NA
673,N327117410204,F,East Asia,ay1718,PHYSICAL SCIENCES,74.90941351,72.424595495,"Mathematical, Computational and Statistical Sciences",Economics,800,NA
674,N328117408204,F,East Asia,ay1718,URBAN STUDIES,71.57557779,71.6760040025,Anthropology,Anthropology,780,NA
675,N329117405204,F,East Asia,ay1718,PHILOSOPHY,85.98195034,86.331376175,History,Psychology,800,A
676,N330117423204,F,East Asia,ay1718,ENVIRONMENTAL STUDIES,70.50973758,73.78324397,Environmental Studies,Global Affairs,760,B
677,N331117421204,F,Europe,ay1718,GLOBAL AFFAIRS,71.73787307,57.65728434,Global Affairs,Arts & Humanities,640,NA
678,N332117418204,F,Singapore,ay1718,ECONOMICS,71.48396429,59.98179623,Economics,Undecided,NA,C
679,N333117414204,F,Singapore,ay1718,PHILOSOPHY,69.68523625,60.519056205,Global Affairs,"Philosophy, Politics and Economics",700,B
680,N334117413204,F,East Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",77.16595768,75.74281332,Psychology,"Philosophy, Politics and Economics",740,NA
681,N335117412204,F,Singapore,ay1718,ANTHROPOLOGY,73.79035612,61.92845509,Life Sciences,Economics,710,B
682,N336117410204,F,Singapore,ay1718,URBAN STUDIES,67.59103376,66.5242788125,Global Affairs,Urban Studies,720,B
683,N337117408204,M,North America,ay1718,NA,70.34038435,64.836545365,"Philosophy, Politics and Economics",Urban Studies,760,NA
684,N339117401204,F,Southeast Asia,ay1718,ECONOMICS,81.98200871,83.7704973425,"Philosophy, Politics and Economics",Economics,760,NA
685,N341117418204,F,Other,ay1718,PSYCHOLOGY,67.29805851,62.9079958175,Life Sciences,Psychology,690,C
686,N343117413204,M,North America,ay1718,PHYSICAL SCIENCES,76.46653885,71.456246415,History,Physical Sciences,720,NA
687,N344117412204,F,East Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",64.16292427,60.4850099175,Urban Studies,"Philosophy, Politics and Economics",800,NA
688,N345117410204,M,South Asia,ay1718,ENVIRONMENTAL STUDIES,80.71172352,86.9123155025,Environmental Studies,Economics,800,NA
689,N324117405209,M,East Asia,ay1718,PHYSICAL SCIENCES,82.22060317,92.4628626825,Environmental Studies,Physical Sciences,800,A
690,N339117421209,M,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.04889791,87.9013478675,Physical Sciences,Physical Sciences,NA,A
691,N340117410209,M,Singapore,ay1718,DDP LAW,67.06566635,58.78623062,Global Affairs,Economics,NA,NA
692,N341117408209,F,Southeast Asia,ay1718,LIFE SCIENCES,78.89267133,77.573050465,Life Sciences,Literature,NA,C
693,N342117405209,M,East Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.71526283,92.3642447375,Physical Sciences,Psychology,NA,A
694,N343117401209,M,Singapore,ay1718,GLOBAL AFFAIRS,70.69804833,67.2104277025,"Philosophy, Politics and Economics",Global Affairs,NA,A
695,N345117425209,M,East Asia,ay1718,ARTS AND HUMANITIES,70.02258815,73.464957115,Psychology,Physical Sciences,NA,A
696,N395117424214,F,Singapore,ay1718,PSYCHOLOGY,74.08300791,69.7208317925,Arts & Humanities,Physical Sciences,NA,A
697,N396117423214,M,Singapore,ay1718,DDP LAW,74.16537966,72.8356517575,Literature,Arts & Humanities,NA,NA
698,N397117421214,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",80.83903089,83.9194744375,Physical Sciences,Anthropology,NA,NA
699,N398117418214,M,Singapore,ay1718,ANTHROPOLOGY,84.72127114,86.9529519325,Global Affairs,"Philosophy, Politics and Economics",NA,NA
700,N399117414214,M,Singapore,ay1718,ENVIRONMENTAL STUDIES,78.97665107,83.5785772,"Philosophy, Politics and Economics",Economics,NA,NA
701,N300117424215,F,Singapore,ay1718,PSYCHOLOGY,77.53642961,80.39129367,Psychology,"Mathematical, Computational and Statistical Sciences",NA,A
702,N301117423215,F,Singapore,ay1718,ECONOMICS,72.35448401,71.721546675,History,"Philosophy, Politics and Economics",NA,A
703,N302117421215,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,75.32937392,74.69690074,Anthropology,"Philosophy, Politics and Economics",NA,A
704,N303117418215,F,Singapore,ay1718,ARTS AND HUMANITIES,70.03597517,71.153256145,Philosophy,Literature,NA,A
705,N304117414215,M,Europe,ay1718,ECONOMICS,81.93147844,84.079215615,Economics,"Philosophy, Politics and Economics",770,NA
706,N305117413215,F,Singapore,ay1718,PHILOSOPHY,68.94756852,65.054155085,Philosophy,Undecided,NA,NA
707,N306117412215,F,Singapore,ay1718,GLOBAL AFFAIRS,74.20562206,72.431322985,Arts & Humanities,Global Affairs,NA,C
708,N307117410215,M,Singapore,ay1718,PHILOSOPHY,73.56376601,79.0022149775,Literature,Undecided,NA,NA
709,N308117408215,F,Singapore,ay1718,ANTHROPOLOGY,74.84580892,79.35473129,Psychology,Anthropology,NA,A
710,N343117410215,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,80.4075255,86.8145960025,Anthropology,Urban Studies,NA,A
711,N344117408215,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",69.51198727,75.485899715,Economics,"Mathematical, Computational and Statistical Sciences",800,A
712,N345117405215,F,Singapore,ay1718,ECONOMICS,74.65429822,76.1903844425,Literature,Arts & Humanities,NA,A
713,N346117401215,M,Singapore,ay1718,DDP LAW,78.61769536,78.02358521,"Philosophy, Politics and Economics",Psychology,NA,NA
714,N347117402215,F,Singapore,ay1718,PSYCHOLOGY,73.48723957,73.00378447,Global Affairs,"Philosophy, Politics and Economics",NA,A
715,N348117425215,F,Singapore,ay1718,PSYCHOLOGY,75.32010837,76.8686252875,"Philosophy, Politics and Economics",Anthropology,710,A
716,N349117424215,F,Singapore,ay1718,LITERATURE,73.69640721,71.40626851,Global Affairs,Economics,780,A
717,N350117413215,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.42025538,91.2719610425,Global Affairs,"Philosophy, Politics and Economics",NA,NA
718,N351117412215,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.31129708,85.51432191,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA
719,N352117410215,F,Southeast Asia,ay1718,ENVIRONMENTAL STUDIES,77.96408533,78.9959783,Environmental Studies,Urban Studies,NA,A
720,N354117405215,F,Singapore,ay1718,ARTS AND HUMANITIES,72.6205784,71.5138112125,Literature,Undecided,NA,A
721,N355117401215,M,North America,ay1718,ENVIRONMENTAL STUDIES,79.03990372,74.4245432225,Arts & Humanities,Environmental Studies,780,NA
722,N357117425215,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,69.96620202,66.9213885725,Literature,"Philosophy, Politics and Economics",NA,B
723,N358117424215,M,Singapore,ay1718,DDP LAW,76.71359606,81.567455515,Physical Sciences,Global Affairs,NA,NA
724,N359117423215,M,Singapore,ay1718,PHILOSOPHY,65.13034035,55.25986111,Literature,"Philosophy, Politics and Economics",NA,NA
725,N361117410215,M,Singapore,ay1718,DDP LAW,68.2168668,60.7745596725,Arts & Humanities,Literature,NA,NA
726,N362117408215,F,Singapore,ay1718,DDP LAW,80.59880221,78.9558954325,Urban Studies,"Philosophy, Politics and Economics",NA,A
727,N363117405215,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",78.37806212,80.7791376925,"Philosophy, Politics and Economics",Urban Studies,NA,NA
728,N364117401215,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",71.81812209,66.78401193,"Philosophy, Politics and Economics",Global Affairs,NA,A
729,N365117402215,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",71.16690179,61.39830991,Global Affairs,"Philosophy, Politics and Economics",NA,A
730,N366117425215,M,Singapore,ay1718,ANTHROPOLOGY,75.70777365,80.9036886075,Psychology,Anthropology,NA,B
731,N367117424215,F,Singapore,ay1718,HISTORY,73.63610779,76.80024007,Arts & Humanities,Global Affairs,NA,B
732,N368117423215,M,Singapore,ay1718,ANTHROPOLOGY,76.56354905,83.75782212,Economics,Global Affairs,NA,A
733,N370117410215,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",77.17513013,80.26327265,Anthropology,Global Affairs,NA,A
734,N371117408215,M,Singapore,ay1718,PHILOSOPHY,85.30743954,89.018098175,Arts & Humanities,"Philosophy, Politics and Economics",800,NA
735,N372117405215,M,Singapore,ay1718,URBAN STUDIES,78.54112232,74.235592545,Global Affairs,History,NA,NA
736,N373117401215,M,Singapore,ay1718,DDP LAW,76.40874593,79.8790668275,"Philosophy, Politics and Economics",History,NA,A
737,N374117402215,F,Singapore,ay1718,LITERATURE,65.53570399,62.6984579075,Literature,Philosophy,NA,NA
738,N375117425215,F,Singapore,ay1718,PSYCHOLOGY,75.52602006,80.2275932825,Psychology,Urban Studies,NA,A
739,N377117423215,M,Singapore,ay1718,PHILOSOPHY,75.65201174,79.959922705,Philosophy,Psychology,NA,NA
740,N378117421215,M,East Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",73.68292738,80.279933545,Environmental Studies,Arts & Humanities,800,B
741,N379117418215,F,Singapore,ay1718,URBAN STUDIES,79.51220346,79.059064585,Global Affairs,Economics,NA,A
742,N380117408215,M,Singapore,ay1718,ECONOMICS,70.36191801,65.8277777175,"Philosophy, Politics and Economics",Global Affairs,NA,NA
743,N381117405215,F,Singapore,ay1718,URBAN STUDIES,70.87097091,68.6803714675,Literature,Arts & Humanities,NA,A
744,N382117401215,M,Singapore,ay1718,LITERATURE,68.59621751,62.10321825,History,Literature,NA,NA
745,N383117402215,F,Singapore,ay1718,DDP LAW,75.45527173,78.5654456075,Psychology,Anthropology,NA,A
746,N384117425215,M,Singapore,ay1718,ENVIRONMENTAL STUDIES,74.16561121,74.9045862275,Arts & Humanities,Global Affairs,NA,NA
747,N385117424215,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.31154069,77.710138475,Literature,"Mathematical, Computational and Statistical Sciences",NA,A
748,N387117421215,F,Singapore,ay1718,ARTS AND HUMANITIES,71.19067086,66.3584713025,History,Literature,NA,A
749,N388117418215,F,Singapore,ay1718,URBAN STUDIES,79.59090784,83.530208235,Urban Studies,Environmental Studies,NA,A
750,N390117405215,F,Singapore,ay1718,HISTORY,83.98955701,84.9263226825,History,Global Affairs,NA,A
751,N391117401215,F,Singapore,ay1718,GLOBAL AFFAIRS,62.67356118,55.9890514775,History,Global Affairs,NA,A
752,N392117402215,M,Singapore,ay1718,ANTHROPOLOGY,77.53959495,82.0077038125,"Philosophy, Politics and Economics",Global Affairs,NA,A
753,N393117425215,F,Singapore,ay1718,LITERATURE,65.9405823,52.9054212,Literature,Arts & Humanities,NA,B
754,N382117423219,F,Singapore,ay1718,HISTORY,74.26446829,83.0103768175,Life Sciences,Philosophy,NA,A
755,N303117425220,F,Other,ay1718,LIFE SCIENCES,68.77489022,75.032434455,History,Life Sciences,740,NA
756,N340117421222,F,Singapore,ay1718,DDP LAW,77.1530492,80.598770055,Urban Studies,Psychology,NA,A
757,N333117405227,F,Singapore,ay1718,PSYCHOLOGY,79.57919196,80.48740806,Psychology,Life Sciences,NA,A
758,N327117401243,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",76.89038566,81.22773147,Literature,"Philosophy, Politics and Economics",NA,A
759,N332117412243,M,South Asia,ay1718,LIFE SCIENCES,74.71097666,74.4626384725,Environmental Studies,Physical Sciences,720,NA
760,N334117408243,F,Singapore,ay1718,URBAN STUDIES,76.18569058,70.6824670225,Global Affairs,"Philosophy, Politics and Economics",740,A
761,N335117405243,F,Singapore,ay1718,LIFE SCIENCES,71.29241129,65.7557169475,Anthropology,Life Sciences,NA,NA
762,N323117408245,M,Singapore,ay1718,NA,75.87896197,78.6404094025,Economics,NA,800,NA
763,N324117405245,M,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",80.30951884,91.2680341775,"Philosophy, Politics and Economics",Anthropology,780,A
764,N328117424245,M,Singapore,ay1718,URBAN STUDIES,82.07533371,92.3364602125,Arts & Humanities,"Mathematical, Computational and Statistical Sciences",NA,NA
765,N393117421263,F,Singapore,ay1718,PSYCHOLOGY,75.87086347,74.9241278475,"Philosophy, Politics and Economics",History,NA,A
766,N313117412271,F,Singapore,ay1718,DDP LAW,73.12502596,75.7383963775,"Philosophy, Politics and Economics",Global Affairs,780,A
767,N314117410271,M,Singapore,ay1718,NA,70.17977054,64.0794651325,"Philosophy, Politics and Economics",Global Affairs,NA,C
768,N314113414263,M,Singapore,ay1819,ANTHROPOLOGY,75.87839804,63.53198296,Anthropology,Global Affairs,NA,B
769,N360116405246,F,Singapore,ay1819,ENVIRONMENTAL STUDIES,85.2513719,88.3019282425,Environmental Studies,Anthropology,NA,A
770,N330116410247,F,East Asia,ay1819,PHYSICAL SCIENCES,85.65314304,95.890312315,Physical Sciences,Physical Sciences,800,NA
771,N316116421296,F,South Asia,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",74.16231877,60.955088645,"Philosophy, Politics and Economics",Undecided,740,NA
772,N395117414218,F,Singapore,ay1819,PSYCHOLOGY,80.49733333,80.199640395,Psychology,History,NA,A
773,N359117405268,F,Singapore,ay1819,ARTS AND HUMANITIES,80.22087022,79.2120706475,Arts & Humanities,Urban Studies,NA,A
774,N321118418223,M,Singapore,ay1819,PHILOSOPHY,83.12729392,77.636867965,Philosophy,Undecided,NA,NA
775,N300118421234,M,Singapore,ay1819,URBAN STUDIES,78.37422772,78.68341499,Urban Studies,Economics,NA,B
776,N391118421237,M,Singapore,ay1819,GLOBAL AFFAIRS,76.40164158,78.25270,Global Affairs,"Philosophy, Politics and Economics",NA,A
777,N368118423250,F,Singapore,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",71.79521846,57.7884391525,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA
778,N320119425201,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",71.55733235,61.1925664475,"Philosophy, Politics and Economics",Psychology,NA,C
779,N372119425207,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",72.25957056,58.86833971,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",730,A
780,N373119424207,F,Europe,ay1819,LIFE SCIENCES,73.9722504,67.5111383725,Life Sciences,Physical Sciences,730,NA
781,N374119423207,F,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",74.45054189,74.4523641975,"Philosophy, Politics and Economics",Psychology,NA,A
782,N375119421207,M,Singapore,ay1819,ECONOMICS,84.46199216,76.2422823125,Economics,Anthropology,NA,A
783,N376119418207,F,Singapore,ay1819,PHYSICAL SCIENCES,81.58707874,75.66345434,Physical Sciences,Undecided,NA,NA
784,N377119414207,M,Europe,ay1819,GLOBAL AFFAIRS,82.38224546,82.852988555,Global Affairs,Life Sciences,780,NA
785,N378119413207,F,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",74.69191618,77.283638705,"Philosophy, Politics and Economics",Economics,NA,A
786,N379119412207,F,Other,ay1819,Undecided,65.25822417,58.71227,Undecided,Economics,530,NA
787,N380119402207,F,East Asia,ay1819,ANTHROPOLOGY,73.49810883,67.790545625,Anthropology,Literature,790,A
788,N381119425207,F,Singapore,ay1819,PSYCHOLOGY,77.68023909,74.1782087025,Psychology,Economics,NA,C
789,N382119424207,M,Europe,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",74.75993913,62.69815538,"Philosophy, Politics and Economics",Global Affairs,790,C
790,N383119423207,F,Singapore,ay1819,ANTHROPOLOGY,80.75702966,84.646435925,Anthropology,Global Affairs,NA,B
791,N384119421207,F,Singapore,ay1819,ARTS AND HUMANITIES,75.67563571,67.84439951,Arts & Humanities,Literature,NA,NA
792,N385119418207,F,East Asia,ay1819,PSYCHOLOGY,65.44378038,59.8013170625,Psychology,"Philosophy, Politics and Economics",720,NA
793,N386119414207,F,Europe,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.11559466,77.98187489,"Mathematical, Computational and Statistical Sciences",Life Sciences,780,B
794,N387119413207,F,Singapore,ay1819,ARTS AND HUMANITIES,66.39570603,55.7591580925,Arts & Humanities,Literature,NA,B
795,N388119412207,F,Singapore,ay1819,ANTHROPOLOGY,72.13138438,79.098107195,Anthropology,Psychology,NA,A
796,N389119410207,M,North America,ay1819,ECONOMICS,76.64638858,73.76714083,Economics,Literature,760,A
797,N390119425207,F,Singapore,ay1819,PSYCHOLOGY,82.74437039,84.00589352,Psychology,Life Sciences,NA,A
798,N391119424207,M,North America,ay1819,PHILOSOPHY,80.31935106,81.7865118075,Philosophy,Arts & Humanities,690,B
799,N392119423207,F,Singapore,ay1819,URBAN STUDIES,77.29007808,69.533165245,Urban Studies,Psychology,NA,NA
800,N393119421207,M,Singapore,ay1819,PSYCHOLOGY,78.91105913,78.009074945,Psychology,Philosophy,NA,NA
801,N394119418207,F,Singapore,ay1819,LITERATURE,76.69881048,70.264886315,Literature,Psychology,NA,A
802,N395119414207,M,Singapore,ay1819,ARTS AND HUMANITIES,71.75399136,57.9114302575,Arts & Humanities,Life Sciences,NA,NA
803,N396119413207,F,Europe,ay1819,PHYSICAL SCIENCES,85.50855372,87.3596549075,Physical Sciences,Arts & Humanities,790,A
804,N397119412207,F,East Asia,ay1819,LIFE SCIENCES,77.38017848,74.8256256675,Life Sciences,Physical Sciences,780,A
805,N398119410207,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",86.96291559,91.6343097775,"Philosophy, Politics and Economics",Undecided,NA,NA
806,N300119414208,F,Singapore,ay1819,ANTHROPOLOGY,81.92932276,79.8474044425,Anthropology,Life Sciences,NA,NA
807,N301119413208,F,Other,ay1819,PHYSICAL SCIENCES,72.31701034,54.1352607575,Physical Sciences,Environmental Studies,620,NA
808,N302119412208,F,North America,ay1819,LIFE SCIENCES,80.83612291,78.9088215725,Life Sciences,History,620,NA
809,N303119410208,F,Other,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.18888351,63.5115641725,"Mathematical, Computational and Statistical Sciences",Life Sciences,650,B
810,N304119408208,F,Southeast Asia,ay1819,Undecided,82.21623428,87.1128387175,Undecided,Psychology,770,A
811,N305119405208,F,Singapore,ay1819,PSYCHOLOGY,81.02403104,71.2270615275,Psychology,Arts & Humanities,NA,NA
812,N306119401208,F,Singapore,ay1819,PSYCHOLOGY,75.59392525,71.1564870525,Psychology,Urban Studies,NA,NA
813,N307119402208,F,Singapore,ay1819,URBAN STUDIES,78.39379722,66.5371511775,Urban Studies,Environmental Studies,NA,A
814,N308119425208,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",70.47719662,55.79005422,"Philosophy, Politics and Economics",Global Affairs,NA,NA
815,N309119424208,F,Southeast Asia,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",81.29412087,78.79990065,"Philosophy, Politics and Economics",Global Affairs,800,NA
816,N310119413208,F,Singapore,ay1819,ENVIRONMENTAL STUDIES,78.50688507,72.697346225,Environmental Studies,Global Affairs,NA,B
817,N311119412208,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",90.44306738,90.1018216875,"Philosophy, Politics and Economics",Global Affairs,NA,A
818,N312119410208,M,Europe,ay1819,LIFE SCIENCES,81.31468706,75.841982795,Life Sciences,Global Affairs,780,B
819,N313119408208,F,South Asia,ay1819,ECONOMICS,77.6200782,75.2947318775,Economics,Undecided,780,NA
820,N314119405208,F,East Asia,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.77034769,84.350135815,"Mathematical, Computational and Statistical Sciences",Philosophy,780,NA
821,N315119401208,M,Singapore,ay1819,LITERATURE,75.93856442,68.010529575,Literature,"Philosophy, Politics and Economics",NA,NA
822,N316119402208,F,Europe,ay1819,LIFE SCIENCES,80.78430083,73.454415455,Life Sciences,Physical Sciences,610,B
823,N317119425208,M,Singapore,ay1819,ANTHROPOLOGY,78.98465922,77.1898404375,Anthropology,Anthropology,710,B
824,N318119424208,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",76.62174824,64.25966122,"Philosophy, Politics and Economics",History,NA,NA
