QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
304,N377117423215,2017,M,Philosophy,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
306,N359117423215,2017,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
308,N351117412215,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
309,N393117421263,2017,F,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
311,N381117405215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
313,N339116410296,2017,F,Philosophy,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
314,N340117421222,2017,F,Urban Studies,Psychology,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
316,N301117423215,2017,F,History,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
317,N354117405215,2017,F,Literature,Undecided,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
318,N340117410209,2017,M,Global Affairs,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
319,N383117402215,2017,F,Psychology,Anthropology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
321,N365117408203,2017,M,Economics,NA,780,790,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,790
325,N370117410215,2017,M,Anthropology,Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
326,N327117401243,2017,F,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
327,N336116414296,2017,M,NA,Environmental Studies,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
328,N383117408203,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,750,770,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,770
329,N304116425296,2017,F,Arts & Humanities,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
331,N305116424296,2017,M,Economics,Global Affairs,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
337,N313117412271,2017,F,"Philosophy, Politics and Economics",Global Affairs,760,780,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
338,N311116401296,2017,M,Anthropology,Economics,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
343,N392117402215,2017,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
347,N357117425215,2017,F,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
350,N399116425295,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
351,N332117418204,2017,F,Economics,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,762.279411764706
352,N313116425296,2017,F,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
353,N397117421214,2017,M,Physical Sciences,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
354,N328116414295,2017,M,History,Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
355,N324116423296,2017,F,Anthropology,Undecided,660,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690
356,N356117408203,2017,F,"Philosophy, Politics and Economics",Psychology,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
359,N339117421209,2017,M,Physical Sciences,Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
361,N390117405215,2017,F,History,Global Affairs,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
362,N302117421215,2017,F,Anthropology,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
363,N332116424296,2017,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
364,N325116423295,2017,F,Global Affairs,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
365,N382117423219,2017,F,Life Sciences,Philosophy,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
371,N330117423204,2017,F,Environmental Studies,Global Affairs,730,760,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,760
372,N373113405290,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
373,N380117408215,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
377,N308117408215,2017,F,Psychology,Anthropology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
378,N302117424204,2017,M,Economics,Physical Sciences,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
379,N387117421215,2017,F,History,Literature,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
382,N312116402296,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
383,N392117408203,2017,F,Arts & Humanities,Arts & Humanities,770,780,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,780
385,N385117424215,2017,M,Literature,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
386,N365117402215,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
390,N338116412296,2017,M,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
391,N345117405215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
394,N342117405209,2017,M,Physical Sciences,Psychology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
395,N324117405209,2017,M,Environmental Studies,Physical Sciences,800,800,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,800
396,N317116418296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
397,N396117423214,2017,M,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
399,N363117405215,2017,M,"Philosophy, Politics and Economics",Urban Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
400,N344117408215,2017,F,Economics,"Mathematical, Computational and Statistical Sciences",790,800,NA,NA,NA,NA,A,B,NA,NA,NA,NA,NA,NA,NA,NA,800
403,N391117401215,2017,F,History,Global Affairs,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
404,N378114401240,2017,M,Global Affairs,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
406,N343117410215,2017,F,Anthropology,Urban Studies,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
408,N337116413296,2017,F,Arts & Humanities,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
411,N346117410203,2017,F,Global Affairs,"Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
417,N341116424296,2017,F,Undecided,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
422,N382117401215,2017,M,History,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
427,N331116425296,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
429,N303117418215,2017,F,Philosophy,Literature,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
432,N375117425215,2017,F,Psychology,Urban Studies,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
434,N373117401215,2017,M,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
435,N350114423299,2017,M,Physical Sciences,Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
438,N378117425203,2017,F,"Philosophy, Politics and Economics",Economics,710,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740
440,N300117424215,2017,F,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
443,N361117414203,2017,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
444,N322116402295,2017,F,Anthropology,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
446,N368117402203,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730
449,N366119414209,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
450,N328119421209,2018,F,Literature,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
452,N343119425209,2018,F,Psychology,Life Sciences,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
454,N373119421209,2018,M,"Mathematical, Computational and Statistical Sciences",Economics,710,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,740
460,N390119425207,2018,F,Psychology,Life Sciences,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
463,N388119412207,2018,F,Anthropology,Psychology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
464,N378119413216,2018,F,Anthropology,Undecided,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
466,N383119418209,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,762.279411764706
467,N334119402208,2018,M,Global Affairs,"Philosophy, Politics and Economics",610,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630
469,N347119421208,2018,M,Economics,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
470,N332119414212,2018,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
476,N345119424208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
477,N331119418212,2018,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
478,N322119408208,2018,M,History,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
481,N392119421208,2018,M,Economics,Life Sciences,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
483,N336119423209,2018,M,Psychology,Economics,700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,730
485,N392119423207,2018,F,Urban Studies,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
487,N348119418208,2018,F,Economics,Global Affairs,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
489,N368118423250,2018,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
491,N311119410209,2018,M,"Philosophy, Politics and Economics",Global Affairs,660,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690
492,N396119412208,2018,M,Philosophy,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
494,N381119424208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
495,N382119421209,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
499,N321119421212,2018,M,Urban Studies,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
500,N324119413212,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
501,N300118421234,2018,M,Urban Studies,Economics,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
503,N351119401208,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,A,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
504,N314119401209,2018,F,Psychology,Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
506,N324119401208,2018,F,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
510,N354119424208,2018,F,Life Sciences,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
511,N326119410212,2018,M,Arts & Humanities,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
512,N304119405209,2018,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
513,N338119418209,2018,F,Global Affairs,Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
520,N363119423209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
523,N350119401209,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
525,N308119425208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
526,N318119424208,2018,M,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
527,N357119414209,2018,M,Philosophy,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
529,N325119402208,2018,F,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
533,N335119425208,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
538,N383119423207,2018,F,Anthropology,Global Affairs,NA,NA,NA,NA,NA,NA,A,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
540,N395117414218,2018,F,Psychology,History,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
544,N373119423208,2018,F,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
545,N324119402209,2018,M,History,Global Affairs,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
546,N323119414212,2018,M,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
547,N314113414263,2018,M,Anthropology,Global Affairs,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
548,N380119424209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
550,N333119401208,2018,F,Psychology,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
551,N328119423208,2018,F,Environmental Studies,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
554,N330119410208,2018,F,"Philosophy, Politics and Economics",Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
556,N320119423212,2018,M,Arts & Humanities,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
558,N309119423209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
560,N318119423209,2018,M,Anthropology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
563,N371119424209,2018,F,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
565,N394119418207,2018,F,Literature,Psychology,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
567,N322119418212,2018,M,"Philosophy, Politics and Economics",Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
568,N353119424209,2018,F,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
569,N315119401208,2018,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
570,N321119405219,2018,F,Physical Sciences,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
571,N351119402209,2018,M,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
572,N375119421207,2018,M,Economics,Anthropology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
573,N382119423208,2018,M,Literature,Psychology,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
576,N327119408212,2018,M,Arts & Humanities,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
578,N363119424208,2018,F,Literature,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
579,N387119413207,2018,F,Arts & Humanities,Literature,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
582,N374119423207,2018,F,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
585,N334119425209,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,C,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
586,N349119413209,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
587,N316119425209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
588,N364119421209,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
590,N395119414207,2018,M,Arts & Humanities,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
592,N317119424209,2018,M,History,Literature,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
593,N374119418209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
596,N330119421212,2018,M,Arts & Humanities,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
600,N376119418216,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
605,N390119424208,2018,M,Psychology,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
607,N393119421207,2018,M,Psychology,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
608,N387119412208,2018,F,Arts & Humanities,Anthropology,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
611,N305119405208,2018,F,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
615,N344119424209,2018,M,Economics,Anthropology,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
617,N300119414208,2018,F,Anthropology,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
618,N320119408219,2018,F,Literature,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
620,N391119423208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
622,N308119424209,2018,F,Psychology,Economics,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
623,N311119412208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
624,N381119425207,2018,F,Psychology,Economics,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
625,N312119408209,2018,F,Environmental Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
626,N378119413207,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
630,N372119423209,2018,F,Anthropology,History,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
633,N358119414208,2018,F,Literature,Literature,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
634,N388119410208,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
636,N365119421208,2018,M,Environmental Studies,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
637,N393119418208,2018,F,Undecided,Undecided,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
638,N389119408208,2018,F,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
640,N310119413208,2018,F,Environmental Studies,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
