"","PIN","Sex.x","Region","Year","Major","Grade","HSG","IndGrd2","Academic.Interest.1","Academic.Interest.2","SAT"
"612","N356117408203","F","East Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",72.52422706,NA,68.209892285,"Philosophy, Politics and Economics","Psychology",790
"613","N357117405203","F","Southeast Asia","ay1718","PHYSICAL SCIENCES",70.51912951,"B",66.3035206075,"Life Sciences","Life Sciences",720
"614","N358117401203","M","East Asia","ay1718","PSYCHOLOGY",69.65653675,"A",69.2725197125,"Philosophy, Politics and Economics","Economics",800
"615","N359117402203","F","East Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.10037637,"A",81.656974485,"Environmental Studies","Physical Sciences",780
"616","N360117418203","M","Europe","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.43494535,NA,84.81232276,"Philosophy, Politics and Economics","Economics",780
"617","N361117414203","M","South Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",82.31390566,NA,90.4610094275,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",790
"618","N362117413203","F","Europe","ay1718","GLOBAL AFFAIRS",69.26514508,NA,65.04044748,"Philosophy, Politics and Economics","Global Affairs",680
"619","N363117412203","M","Europe","ay1718","URBAN STUDIES",69.78489315,NA,66.2692697625,"Anthropology","Philosophy",620
"620","N364117410203","M","Southeast Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.44714374,NA,89.6862071975,"Mathematical, Computational and Statistical Sciences","Economics",800
"621","N365117408203","M","South Asia","ay1718","ECONOMICS",73.79506274,"A",76.132900935,"Economics",NA,790
"622","N367117401203","F","North America","ay1718","URBAN STUDIES",71.51087912,NA,74.265745025,"Undecided","Physical Sciences",680
"623","N368117402203","F","Southeast Asia","ay1718","GLOBAL AFFAIRS",73.982031,NA,71.026491165,"Philosophy, Politics and Economics","Arts & Humanities",730
"624","N369117425203","F","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",73.92285339,"D",73.7584006425,"Global Affairs","Psychology",730
"625","N370117414203","F","East Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",76.00283203,NA,74.7944475975,"Psychology","Philosophy, Politics and Economics",770
"626","N371117413203","F","North America","ay1718","LIFE SCIENCES",75.69309178,NA,73.7196631525,"Psychology","Arts & Humanities",800
"627","N372117412203","M","South Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",68.90088027,NA,66.9451318625,"Undecided","Mathematical, Computational and Statistical Sciences",780
"628","N373117410203","F","South Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",70.35969082,NA,69.3503835725,"Mathematical, Computational and Statistical Sciences","Physical Sciences",680
"629","N374117408203","F","Other","ay1718","GLOBAL AFFAIRS",59.77056365,NA,50.64611502,"Philosophy, Politics and Economics","Arts & Humanities",600
"630","N376117401203","F","Other","ay1718","LIFE SCIENCES",74.71963677,NA,70.4349743375,"Life Sciences","Environmental Studies",640
"631","N377117402203","M","Europe","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",79.26436343,NA,82.8299071025,"Philosophy, Politics and Economics","Economics",770
"632","N378117425203","F","South Asia","ay1718","ECONOMICS",68.16943528,NA,77.8985589525,"Philosophy, Politics and Economics","Economics",740
"633","N379117424203","F","Europe","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",74.89424229,NA,79.2154766975,"Philosophy, Politics and Economics",NA,800
"634","N380117413203","F","Singapore","ay1718","ENVIRONMENTAL STUDIES",70.16252993,"C",65.224037065,"Environmental Studies","Undecided",720
"635","N381117412203","M","Other","ay1718","ECONOMICS",75.47694541,NA,77.1354488025,"Economics","Global Affairs",780
"636","N383117408203","M","South Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",69.28703624,"A",69.3181051175,"Mathematical, Computational and Statistical Sciences","Physical Sciences",770
"637","N384117405203","F","East Asia","ay1718","ECONOMICS",78.04195978,NA,74.78279771,"Philosophy, Politics and Economics","Life Sciences",800
"638","N385117401203","F","Singapore","ay1718","ECONOMICS",79.59556815,"A",77.842417325,"Economics","Philosophy, Politics and Economics",750
"639","N386117402203","M","South Asia","ay1718","ECONOMICS",69.1122462,NA,65.9652871325,"Environmental Studies","Physical Sciences",780
"640","N387117425203","M","Europe","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.38371964,NA,87.578610585,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",760
"641","N388117424203","M","Singapore","ay1718","PSYCHOLOGY",78.3376146,"C",75.1206505325,"Psychology","Philosophy, Politics and Economics",NA
"642","N389117423203","F","Southeast Asia","ay1718","PSYCHOLOGY",74.50114366,NA,66.56936191,"Mathematical, Computational and Statistical Sciences","Life Sciences",770
"643","N390117412203","F","Southeast Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.76141269,"A",71.2989015825,"Mathematical, Computational and Statistical Sciences","Physical Sciences",790
"644","N391117410203","F","South Asia","ay1718","GLOBAL AFFAIRS",60.87000402,NA,50.4538426475,"Literature","Physical Sciences",690
"645","N392117408203","F","North America","ay1718","GLOBAL AFFAIRS",69.94147872,"A",69.919991295,"Arts & Humanities","Arts & Humanities",780
"646","N393117405203","F","Singapore","ay1718","LIFE SCIENCES",81.03309355,"C",87.083399075,"Anthropology","Arts & Humanities",740
"647","N394117401203","F","Europe","ay1718","LIFE SCIENCES",66.87796064,NA,65.5151360675,"Life Sciences","Physical Sciences",710
"648","N395117402203","F","Europe","ay1718","ARTS AND HUMANITIES",63.92244538,NA,60.883039805,"Arts & Humanities","Psychology",730
"649","N397117424203","F","South Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",68.2251571,NA,62.0056174075,"Undecided","Economics",780
"650","N399117421203","M","South Asia","ay1718","LITERATURE",77.41716,NA,72.3995563675,"Mathematical, Computational and Statistical Sciences","Literature",710
"651","N300117402204","M","Other","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.0354063,"C",61.6596682975,"Mathematical, Computational and Statistical Sciences","Physical Sciences",650
"652","N301117425204","F","Europe","ay1718","PSYCHOLOGY",71.53757387,NA,69.896162155,"Psychology","Philosophy",690
"653","N302117424204","M","North America","ay1718","PHILOSOPHY",82.21033563,NA,87.32756523,"Economics","Physical Sciences",800
"654","N305117418204","F","East Asia","ay1718","GLOBAL AFFAIRS",74.6751534,NA,75.5303800875,"Psychology","Global Affairs",800
"655","N307117413204","F","Other","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",72.32308502,NA,67.7381150625,"Mathematical, Computational and Statistical Sciences","Undecided",740
"656","N308117412204","M","North America","ay1718","ECONOMICS",77.08777091,NA,83.34232336,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",800
"657","N309117410204","M","Singapore","ay1718","LIFE SCIENCES",80.10688302,"B",76.9447948275,"Life Sciences","Physical Sciences",760
"658","N310117425204","F","Europe","ay1718","PHYSICAL SCIENCES",74.73807969,NA,69.53475821,"Physical Sciences",NA,780
"659","N311117424204","M","Southeast Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",79.27507253,"B",79.4692481475,"Undecided","Undecided",660
"660","N312117423204","M","South Asia","ay1718","PHYSICAL SCIENCES",82.58960111,NA,86.9166881925,"Physical Sciences","Mathematical, Computational and Statistical Sciences",800
"661","N313117421204","F","Europe","ay1718","GLOBAL AFFAIRS",79.37313166,NA,83.6404374325,"Psychology","Urban Studies",780
"662","N315117414204","M","Other","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",59.7883052,NA,60.8749045875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",740
"663","N316117413204","F","Singapore","ay1718","URBAN STUDIES",75.72872486,"A",78.0072795825,"Undecided","Anthropology",730
"664","N318117410204","F","East Asia","ay1718",NA,47.5721058,"A",NA,"Life Sciences","Psychology",790
"665","N319117408204","M","North America","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",70.68310708,NA,72.569721385,"Global Affairs","Economics",670
"666","N320117424204","F","Other","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",59.05503051,NA,44.9038324475,"Global Affairs","Philosophy, Politics and Economics",670
"667","N321117423204","M","Southeast Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",63.84328887,NA,60.2951347375,"Anthropology","Anthropology",620
"668","N322117421204","F","South Asia","ay1718","PHYSICAL SCIENCES",66.3143382,NA,61.748132985,"Mathematical, Computational and Statistical Sciences","Economics",750
"669","N323117418204","M","South Asia","ay1718","ENVIRONMENTAL STUDIES",64.40156743,NA,56.2701993775,"Physical Sciences","Philosophy",680
"670","N324117414204","F","East Asia","ay1718","ENVIRONMENTAL STUDIES",82.69539677,NA,89.2035609125,"Psychology","Physical Sciences",800
"671","N325117413204","M","Other","ay1718","PHYSICAL SCIENCES",69.76998231,NA,67.3156669225,"Physical Sciences","Arts & Humanities",680
"672","N326117412204","M","South Asia","ay1718","ECONOMICS",64.0351786,NA,57.9614183825,"Philosophy, Politics and Economics","Economics",710
"673","N327117410204","F","East Asia","ay1718","PHYSICAL SCIENCES",74.90941351,NA,72.424595495,"Mathematical, Computational and Statistical Sciences","Economics",800
"674","N328117408204","F","East Asia","ay1718","URBAN STUDIES",71.57557779,NA,71.6760040025,"Anthropology","Anthropology",780
"675","N329117405204","F","East Asia","ay1718","PHILOSOPHY",85.98195034,"A",86.331376175,"History","Psychology",800
"676","N330117423204","F","East Asia","ay1718","ENVIRONMENTAL STUDIES",70.50973758,"B",73.78324397,"Environmental Studies","Global Affairs",760
"677","N331117421204","F","Europe","ay1718","GLOBAL AFFAIRS",71.73787307,NA,57.65728434,"Global Affairs","Arts & Humanities",640
"678","N332117418204","F","Singapore","ay1718","ECONOMICS",71.48396429,"C",59.98179623,"Economics","Undecided",NA
"679","N333117414204","F","Singapore","ay1718","PHILOSOPHY",69.68523625,"B",60.519056205,"Global Affairs","Philosophy, Politics and Economics",700
"680","N334117413204","F","East Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",77.16595768,NA,75.74281332,"Psychology","Philosophy, Politics and Economics",740
"681","N335117412204","F","Singapore","ay1718","ANTHROPOLOGY",73.79035612,"B",61.92845509,"Life Sciences","Economics",710
"682","N336117410204","F","Singapore","ay1718","URBAN STUDIES",67.59103376,"B",66.5242788125,"Global Affairs","Urban Studies",720
"683","N337117408204","M","North America","ay1718",NA,70.34038435,NA,64.836545365,"Philosophy, Politics and Economics","Urban Studies",760
"684","N339117401204","F","Southeast Asia","ay1718","ECONOMICS",81.98200871,NA,83.7704973425,"Philosophy, Politics and Economics","Economics",760
"685","N341117418204","F","Other","ay1718","PSYCHOLOGY",67.29805851,"C",62.9079958175,"Life Sciences","Psychology",690
"686","N343117413204","M","North America","ay1718","PHYSICAL SCIENCES",76.46653885,NA,71.456246415,"History","Physical Sciences",720
"687","N344117412204","F","East Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",64.16292427,NA,60.4850099175,"Urban Studies","Philosophy, Politics and Economics",800
"688","N345117410204","M","South Asia","ay1718","ENVIRONMENTAL STUDIES",80.71172352,NA,86.9123155025,"Environmental Studies","Economics",800
"689","N324117405209","M","East Asia","ay1718","PHYSICAL SCIENCES",82.22060317,"A",92.4628626825,"Environmental Studies","Physical Sciences",800
"690","N339117421209","M","Southeast Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.04889791,"A",87.9013478675,"Physical Sciences","Physical Sciences",NA
"691","N340117410209","M","Singapore","ay1718","DDP LAW",67.06566635,NA,58.78623062,"Global Affairs","Economics",NA
"692","N341117408209","F","Southeast Asia","ay1718","LIFE SCIENCES",78.89267133,"C",77.573050465,"Life Sciences","Literature",NA
"693","N342117405209","M","East Asia","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.71526283,"A",92.3642447375,"Physical Sciences","Psychology",NA
"694","N343117401209","M","Singapore","ay1718","GLOBAL AFFAIRS",70.69804833,"A",67.2104277025,"Philosophy, Politics and Economics","Global Affairs",NA
"695","N345117425209","M","East Asia","ay1718","ARTS AND HUMANITIES",70.02258815,"A",73.464957115,"Psychology","Physical Sciences",NA
"696","N395117424214","F","Singapore","ay1718","PSYCHOLOGY",74.08300791,"A",69.7208317925,"Arts & Humanities","Physical Sciences",NA
"697","N396117423214","M","Singapore","ay1718","DDP LAW",74.16537966,NA,72.8356517575,"Literature","Arts & Humanities",NA
"698","N397117421214","M","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",80.83903089,NA,83.9194744375,"Physical Sciences","Anthropology",NA
"699","N398117418214","M","Singapore","ay1718","ANTHROPOLOGY",84.72127114,NA,86.9529519325,"Global Affairs","Philosophy, Politics and Economics",NA
"700","N399117414214","M","Singapore","ay1718","ENVIRONMENTAL STUDIES",78.97665107,NA,83.5785772,"Philosophy, Politics and Economics","Economics",NA
"701","N300117424215","F","Singapore","ay1718","PSYCHOLOGY",77.53642961,"A",80.39129367,"Psychology","Mathematical, Computational and Statistical Sciences",NA
"702","N301117423215","F","Singapore","ay1718","ECONOMICS",72.35448401,"A",71.721546675,"History","Philosophy, Politics and Economics",NA
"703","N302117421215","F","Singapore","ay1718","ENVIRONMENTAL STUDIES",75.32937392,"A",74.69690074,"Anthropology","Philosophy, Politics and Economics",NA
"704","N303117418215","F","Singapore","ay1718","ARTS AND HUMANITIES",70.03597517,"A",71.153256145,"Philosophy","Literature",NA
"705","N304117414215","M","Europe","ay1718","ECONOMICS",81.93147844,NA,84.079215615,"Economics","Philosophy, Politics and Economics",770
"706","N305117413215","F","Singapore","ay1718","PHILOSOPHY",68.94756852,NA,65.054155085,"Philosophy","Undecided",NA
"707","N306117412215","F","Singapore","ay1718","GLOBAL AFFAIRS",74.20562206,"C",72.431322985,"Arts & Humanities","Global Affairs",NA
"708","N307117410215","M","Singapore","ay1718","PHILOSOPHY",73.56376601,NA,79.0022149775,"Literature","Undecided",NA
"709","N308117408215","F","Singapore","ay1718","ANTHROPOLOGY",74.84580892,"A",79.35473129,"Psychology","Anthropology",NA
"710","N343117410215","F","Singapore","ay1718","ENVIRONMENTAL STUDIES",80.4075255,"A",86.8145960025,"Anthropology","Urban Studies",NA
"711","N344117408215","F","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",69.51198727,"A",75.485899715,"Economics","Mathematical, Computational and Statistical Sciences",800
"712","N345117405215","F","Singapore","ay1718","ECONOMICS",74.65429822,"A",76.1903844425,"Literature","Arts & Humanities",NA
"713","N346117401215","M","Singapore","ay1718","DDP LAW",78.61769536,NA,78.02358521,"Philosophy, Politics and Economics","Psychology",NA
"714","N347117402215","F","Singapore","ay1718","PSYCHOLOGY",73.48723957,"A",73.00378447,"Global Affairs","Philosophy, Politics and Economics",NA
"715","N348117425215","F","Singapore","ay1718","PSYCHOLOGY",75.32010837,"A",76.8686252875,"Philosophy, Politics and Economics","Anthropology",710
"716","N349117424215","F","Singapore","ay1718","LITERATURE",73.69640721,"A",71.40626851,"Global Affairs","Economics",780
"717","N350117413215","M","Singapore","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.42025538,NA,91.2719610425,"Global Affairs","Philosophy, Politics and Economics",NA
"718","N351117412215","M","Singapore","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.31129708,NA,85.51432191,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA
"719","N352117410215","F","Southeast Asia","ay1718","ENVIRONMENTAL STUDIES",77.96408533,"A",78.9959783,"Environmental Studies","Urban Studies",NA
"720","N354117405215","F","Singapore","ay1718","ARTS AND HUMANITIES",72.6205784,"A",71.5138112125,"Literature","Undecided",NA
"721","N355117401215","M","North America","ay1718","ENVIRONMENTAL STUDIES",79.03990372,NA,74.4245432225,"Arts & Humanities","Environmental Studies",780
"722","N357117425215","F","Singapore","ay1718","ENVIRONMENTAL STUDIES",69.96620202,"B",66.9213885725,"Literature","Philosophy, Politics and Economics",NA
"723","N358117424215","M","Singapore","ay1718","DDP LAW",76.71359606,NA,81.567455515,"Physical Sciences","Global Affairs",NA
"724","N359117423215","M","Singapore","ay1718","PHILOSOPHY",65.13034035,NA,55.25986111,"Literature","Philosophy, Politics and Economics",NA
"725","N361117410215","M","Singapore","ay1718","DDP LAW",68.2168668,NA,60.7745596725,"Arts & Humanities","Literature",NA
"726","N362117408215","F","Singapore","ay1718","DDP LAW",80.59880221,"A",78.9558954325,"Urban Studies","Philosophy, Politics and Economics",NA
"727","N363117405215","M","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",78.37806212,NA,80.7791376925,"Philosophy, Politics and Economics","Urban Studies",NA
"728","N364117401215","M","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",71.81812209,"A",66.78401193,"Philosophy, Politics and Economics","Global Affairs",NA
"729","N365117402215","F","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",71.16690179,"A",61.39830991,"Global Affairs","Philosophy, Politics and Economics",NA
"730","N366117425215","M","Singapore","ay1718","ANTHROPOLOGY",75.70777365,"B",80.9036886075,"Psychology","Anthropology",NA
"731","N367117424215","F","Singapore","ay1718","HISTORY",73.63610779,"B",76.80024007,"Arts & Humanities","Global Affairs",NA
"732","N368117423215","M","Singapore","ay1718","ANTHROPOLOGY",76.56354905,"A",83.75782212,"Economics","Global Affairs",NA
"733","N370117410215","M","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",77.17513013,"A",80.26327265,"Anthropology","Global Affairs",NA
"734","N371117408215","M","Singapore","ay1718","PHILOSOPHY",85.30743954,NA,89.018098175,"Arts & Humanities","Philosophy, Politics and Economics",800
"735","N372117405215","M","Singapore","ay1718","URBAN STUDIES",78.54112232,NA,74.235592545,"Global Affairs","History",NA
"736","N373117401215","M","Singapore","ay1718","DDP LAW",76.40874593,"A",79.8790668275,"Philosophy, Politics and Economics","History",NA
"737","N374117402215","F","Singapore","ay1718","LITERATURE",65.53570399,NA,62.6984579075,"Literature","Philosophy",NA
"738","N375117425215","F","Singapore","ay1718","PSYCHOLOGY",75.52602006,"A",80.2275932825,"Psychology","Urban Studies",NA
"739","N377117423215","M","Singapore","ay1718","PHILOSOPHY",75.65201174,NA,79.959922705,"Philosophy","Psychology",NA
"740","N378117421215","M","East Asia","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",73.68292738,"B",80.279933545,"Environmental Studies","Arts & Humanities",800
"741","N379117418215","F","Singapore","ay1718","URBAN STUDIES",79.51220346,"A",79.059064585,"Global Affairs","Economics",NA
"742","N380117408215","M","Singapore","ay1718","ECONOMICS",70.36191801,NA,65.8277777175,"Philosophy, Politics and Economics","Global Affairs",NA
"743","N381117405215","F","Singapore","ay1718","URBAN STUDIES",70.87097091,"A",68.6803714675,"Literature","Arts & Humanities",NA
"744","N382117401215","M","Singapore","ay1718","LITERATURE",68.59621751,NA,62.10321825,"History","Literature",NA
"745","N383117402215","F","Singapore","ay1718","DDP LAW",75.45527173,"A",78.5654456075,"Psychology","Anthropology",NA
"746","N384117425215","M","Singapore","ay1718","ENVIRONMENTAL STUDIES",74.16561121,NA,74.9045862275,"Arts & Humanities","Global Affairs",NA
"747","N385117424215","M","Singapore","ay1718","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.31154069,"A",77.710138475,"Literature","Mathematical, Computational and Statistical Sciences",NA
"748","N387117421215","F","Singapore","ay1718","ARTS AND HUMANITIES",71.19067086,"A",66.3584713025,"History","Literature",NA
"749","N388117418215","F","Singapore","ay1718","URBAN STUDIES",79.59090784,"A",83.530208235,"Urban Studies","Environmental Studies",NA
"750","N390117405215","F","Singapore","ay1718","HISTORY",83.98955701,"A",84.9263226825,"History","Global Affairs",NA
"751","N391117401215","F","Singapore","ay1718","GLOBAL AFFAIRS",62.67356118,"A",55.9890514775,"History","Global Affairs",NA
"752","N392117402215","M","Singapore","ay1718","ANTHROPOLOGY",77.53959495,"A",82.0077038125,"Philosophy, Politics and Economics","Global Affairs",NA
"753","N393117425215","F","Singapore","ay1718","LITERATURE",65.9405823,"B",52.9054212,"Literature","Arts & Humanities",NA
"754","N382117423219","F","Singapore","ay1718","HISTORY",74.26446829,"A",83.0103768175,"Life Sciences","Philosophy",NA
"755","N303117425220","F","Other","ay1718","LIFE SCIENCES",68.77489022,NA,75.032434455,"History","Life Sciences",740
"756","N340117421222","F","Singapore","ay1718","DDP LAW",77.1530492,"A",80.598770055,"Urban Studies","Psychology",NA
"757","N333117405227","F","Singapore","ay1718","PSYCHOLOGY",79.57919196,"A",80.48740806,"Psychology","Life Sciences",NA
"758","N327117401243","F","Singapore","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",76.89038566,"A",81.22773147,"Literature","Philosophy, Politics and Economics",NA
"759","N332117412243","M","South Asia","ay1718","LIFE SCIENCES",74.71097666,NA,74.4626384725,"Environmental Studies","Physical Sciences",720
"760","N334117408243","F","Singapore","ay1718","URBAN STUDIES",76.18569058,"A",70.6824670225,"Global Affairs","Philosophy, Politics and Economics",740
"761","N335117405243","F","Singapore","ay1718","LIFE SCIENCES",71.29241129,NA,65.7557169475,"Anthropology","Life Sciences",NA
"762","N323117408245","M","Singapore","ay1718",NA,75.87896197,NA,78.6404094025,"Economics",NA,800
"763","N324117405245","M","Other","ay1718","PHILOSOPHY, POLITICS AND ECONOMICS",80.30951884,"A",91.2680341775,"Philosophy, Politics and Economics","Anthropology",780
"764","N328117424245","M","Singapore","ay1718","URBAN STUDIES",82.07533371,NA,92.3364602125,"Arts & Humanities","Mathematical, Computational and Statistical Sciences",NA
"765","N393117421263","F","Singapore","ay1718","PSYCHOLOGY",75.87086347,"A",74.9241278475,"Philosophy, Politics and Economics","History",NA
"766","N313117412271","F","Singapore","ay1718","DDP LAW",73.12502596,"A",75.7383963775,"Philosophy, Politics and Economics","Global Affairs",780
"767","N314117410271","M","Singapore","ay1718",NA,70.17977054,"C",64.0794651325,"Philosophy, Politics and Economics","Global Affairs",NA
"768","N314113414263","M","Singapore","ay1819","ANTHROPOLOGY",75.87839804,"B",63.53198296,"Anthropology","Global Affairs",NA
"769","N360116405246","F","Singapore","ay1819","ENVIRONMENTAL STUDIES",85.2513719,"A",88.3019282425,"Environmental Studies","Anthropology",NA
"770","N330116410247","F","East Asia","ay1819","PHYSICAL SCIENCES",85.65314304,NA,95.890312315,"Physical Sciences","Physical Sciences",800
"771","N316116421296","F","South Asia","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",74.16231877,NA,60.955088645,"Philosophy, Politics and Economics","Undecided",740
"772","N395117414218","F","Singapore","ay1819","PSYCHOLOGY",80.49733333,"A",80.199640395,"Psychology","History",NA
"773","N359117405268","F","Singapore","ay1819","ARTS AND HUMANITIES",80.22087022,"A",79.2120706475,"Arts & Humanities","Urban Studies",NA
"774","N321118418223","M","Singapore","ay1819","PHILOSOPHY",83.12729392,NA,77.636867965,"Philosophy","Undecided",NA
"775","N300118421234","M","Singapore","ay1819","URBAN STUDIES",78.37422772,"B",78.68341499,"Urban Studies","Economics",NA
"776","N391118421237","M","Singapore","ay1819","GLOBAL AFFAIRS",76.40164158,"A",NA,"Global Affairs","Philosophy, Politics and Economics",NA
"777","N368118423250","F","Singapore","ay1819","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",71.79521846,NA,57.7884391525,"Mathematical, Computational and Statistical Sciences","Physical Sciences",NA
"778","N320119425201","M","Singapore","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",71.55733235,"C",61.1925664475,"Philosophy, Politics and Economics","Psychology",NA
"779","N372119425207","M","Singapore","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",72.25957056,"A",58.86833971,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",730
"780","N373119424207","F","Europe","ay1819","LIFE SCIENCES",73.9722504,NA,67.5111383725,"Life Sciences","Physical Sciences",730
"781","N374119423207","F","Singapore","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",74.45054189,"A",74.4523641975,"Philosophy, Politics and Economics","Psychology",NA
"782","N375119421207","M","Singapore","ay1819","ECONOMICS",84.46199216,"A",76.2422823125,"Economics","Anthropology",NA
"783","N376119418207","F","Singapore","ay1819","PHYSICAL SCIENCES",81.58707874,NA,75.66345434,"Physical Sciences","Undecided",NA
"784","N377119414207","M","Europe","ay1819","GLOBAL AFFAIRS",82.38224546,NA,82.852988555,"Global Affairs","Life Sciences",780
"785","N378119413207","F","Singapore","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",74.69191618,"A",77.283638705,"Philosophy, Politics and Economics","Economics",NA
"786","N379119412207","F","Other","ay1819","Undecided",65.25822417,NA,NA,"Undecided","Economics",530
"787","N380119402207","F","East Asia","ay1819","ANTHROPOLOGY",73.49810883,"A",67.790545625,"Anthropology","Literature",790
"788","N381119425207","F","Singapore","ay1819","PSYCHOLOGY",77.68023909,"C",74.1782087025,"Psychology","Economics",NA
"789","N382119424207","M","Europe","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",74.75993913,"C",62.69815538,"Philosophy, Politics and Economics","Global Affairs",790
"790","N383119423207","F","Singapore","ay1819","ANTHROPOLOGY",80.75702966,"B",84.646435925,"Anthropology","Global Affairs",NA
"791","N384119421207","F","Singapore","ay1819","ARTS AND HUMANITIES",75.67563571,NA,67.84439951,"Arts & Humanities","Literature",NA
"792","N385119418207","F","East Asia","ay1819","PSYCHOLOGY",65.44378038,NA,59.8013170625,"Psychology","Philosophy, Politics and Economics",720
"793","N386119414207","F","Europe","ay1819","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.11559466,"B",77.98187489,"Mathematical, Computational and Statistical Sciences","Life Sciences",780
"794","N387119413207","F","Singapore","ay1819","ARTS AND HUMANITIES",66.39570603,"B",55.7591580925,"Arts & Humanities","Literature",NA
"795","N388119412207","F","Singapore","ay1819","ANTHROPOLOGY",72.13138438,"A",79.098107195,"Anthropology","Psychology",NA
"796","N389119410207","M","North America","ay1819","ECONOMICS",76.64638858,"A",73.76714083,"Economics","Literature",760
"797","N390119425207","F","Singapore","ay1819","PSYCHOLOGY",82.74437039,"A",84.00589352,"Psychology","Life Sciences",NA
"798","N391119424207","M","North America","ay1819","PHILOSOPHY",80.31935106,"B",81.7865118075,"Philosophy","Arts & Humanities",690
"799","N392119423207","F","Singapore","ay1819","URBAN STUDIES",77.29007808,NA,69.533165245,"Urban Studies","Psychology",NA
"800","N393119421207","M","Singapore","ay1819","PSYCHOLOGY",78.91105913,NA,78.009074945,"Psychology","Philosophy",NA
"801","N394119418207","F","Singapore","ay1819","LITERATURE",76.69881048,"A",70.264886315,"Literature","Psychology",NA
"802","N395119414207","M","Singapore","ay1819","ARTS AND HUMANITIES",71.75399136,NA,57.9114302575,"Arts & Humanities","Life Sciences",NA
"803","N396119413207","F","Europe","ay1819","PHYSICAL SCIENCES",85.50855372,"A",87.3596549075,"Physical Sciences","Arts & Humanities",790
"804","N397119412207","F","East Asia","ay1819","LIFE SCIENCES",77.38017848,"A",74.8256256675,"Life Sciences","Physical Sciences",780
"805","N398119410207","M","Singapore","ay1819","PHILOSOPHY, POLITICS AND ECONOMICS",86.96291559,NA,91.6343097775,"Philosophy, Politics and Economics","Undecided",NA
"806","N300119414208","F","Singapore","ay1819","ANTHROPOLOGY",81.92932276,NA,79.8474044425,"Anthropology","Life Sciences",NA
