PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N305119401209,2018,F,Anthropology,Environmental Studies,NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381119424208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N382119421209,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320119410209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359119413208,2018,M,Life Sciences,Arts & Humanities,NA,NA,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
N309119424208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321119421212,2018,M,Urban Studies,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324119413212,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300118421234,2018,M,Urban Studies,Economics,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302119412208,2018,F,Life Sciences,History,NA,NA,620,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351119401208,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N314119401209,2018,F,Psychology,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327119424208,2018,F,Urban Studies,"Philosophy, Politics and Economics",NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324119401208,2018,F,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345119423209,2018,M,Physical Sciences,Undecided,NA,NA,NA,31,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312119410208,2018,M,Life Sciences,Global Affairs,NA,NA,780,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348119414209,2018,F,Anthropology,Global Affairs,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354119424208,2018,F,Life Sciences,Psychology,NA,NA,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N326119410212,2018,M,Arts & Humanities,Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304119405209,2018,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338119418209,2018,F,Global Affairs,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373119424207,2018,F,Life Sciences,Physical Sciences,NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346119423208,2018,F,Life Sciences,Environmental Studies,NA,NA,750,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399119405208,2018,M,"Mathematical, Computational and Statistical Sciences",Undecided,NA,NA,770,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301119412209,2018,F,Economics,Life Sciences,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N316116421296,2018,F,"Philosophy, Politics and Economics",Undecided,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N396119413207,2018,F,Physical Sciences,Arts & Humanities,NA,NA,790,35,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363119423209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378119410209,2018,F,Life Sciences,Literature,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302119410209,2018,M,"Mathematical, Computational and Statistical Sciences",Economics,NA,NA,770,NA,,,A,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350119401209,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376119414208,2018,F,Global Affairs,Anthropology,NA,NA,NA,31,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308119425208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N318119424208,2018,M,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357119414209,2018,M,Philosophy,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N362119424209,2018,F,Arts & Humanities,Psychology,NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325119402208,2018,F,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372119424208,2018,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,750,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA
N361119402208,2018,M,History,"Philosophy, Politics and Economics",NA,NA,760,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356119421208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,720,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335119425208,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303119410208,2018,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,NA,NA,650,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337119423208,2018,M,Philosophy,Global Affairs,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
N391119424207,2018,M,Philosophy,Arts & Humanities,NA,NA,690,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
N368119413208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,27,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383119423207,2018,F,Anthropology,Global Affairs,NA,NA,NA,NA,,,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319119405212,2018,M,Environmental Studies,"Philosophy, Politics and Economics",NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395117414218,2018,F,Psychology,History,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N371119425208,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349119414208,2018,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N398119408208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373119423208,2018,F,Economics,Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324119402209,2018,M,History,Global Affairs,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N323119414212,2018,M,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N314113414263,2018,M,Anthropology,Global Affairs,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380119424209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344119425208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
N333119401208,2018,F,Psychology,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328119423208,2018,F,Environmental Studies,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352119402208,2018,F,Economics,Arts & Humanities,NA,NA,800,NA,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N316119402208,2018,F,Life Sciences,Physical Sciences,NA,NA,NA,26,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330119410208,2018,F,"Philosophy, Politics and Economics",Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304119408208,2018,F,Undecided,Psychology,NA,NA,770,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320119423212,2018,M,Arts & Humanities,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368119412209,2018,F,Life Sciences,Undecided,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309119423209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379119410208,2018,F,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,NA,800,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N318119423209,2018,M,Anthropology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N386119414207,2018,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,NA,NA,780,NA,,,,,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378119412208,2018,M,Economics,Global Affairs,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
N371119424209,2018,F,Psychology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372119425207,2018,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",700,730,640,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
N394119418207,2018,F,Literature,Psychology,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300119413209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,31,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322119418212,2018,M,"Philosophy, Politics and Economics",Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353119424209,2018,F,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N315119401208,2018,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321119405219,2018,F,Physical Sciences,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351119402209,2018,M,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375119421207,2018,M,Economics,Anthropology,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N382119423208,2018,M,Literature,Psychology,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354119423209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N329119418209,2018,F,Psychology,Literature,NA,NA,720,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327119408212,2018,M,Arts & Humanities,Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330116410247,2018,F,Physical Sciences,Physical Sciences,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363119424208,2018,F,Literature,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N387119413207,2018,F,Arts & Humanities,Literature,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332119405208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,760,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320119412208,2018,M,Undecided,"Philosophy, Politics and Economics",NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374119423207,2018,F,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301119413208,2018,F,Physical Sciences,Environmental Studies,NA,NA,620,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375119414209,2018,M,Environmental Studies,Life Sciences,NA,NA,780,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N334119425209,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,C,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N349119413209,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N316119425209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364119421209,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399119414221,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,710,NA,,,,,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395119414207,2018,M,Arts & Humanities,Life Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319119421209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,730,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N317119424209,2018,M,History,Literature,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374119418209,2018,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364119423208,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,790,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N369119410209,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,750,NA,,,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330119421212,2018,M,Arts & Humanities,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343119402208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357119418208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341119405208,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376119418216,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367119413209,2018,M,"Philosophy, Politics and Economics",Philosophy,NA,NA,740,NA,,,,,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397119412207,2018,F,Life Sciences,Physical Sciences,NA,NA,NA,35,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325119425209,2018,F,Life Sciences,"Philosophy, Politics and Economics",NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321119408209,2018,M,Environmental Studies,Economics,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
N390119424208,2018,M,Psychology,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340119405209,2018,M,Economics,Undecided,NA,NA,NA,32,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393119421207,2018,M,Psychology,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N387119412208,2018,F,Arts & Humanities,Anthropology,NA,NA,NA,NA,C,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N326119425208,2018,M,Economics,Life Sciences,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N376119413209,2018,F,Undecided,Psychology,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA
N305119405208,2018,F,Psychology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310119412209,2018,F,Global Affairs,History,NA,NA,NA,28,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N370119402208,2018,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360119402209,2018,M,Undecided,Economics,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344119424209,2018,M,Economics,Anthropology,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380119402216,2018,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300119414208,2018,F,Anthropology,Life Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320119408219,2018,F,Literature,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N331119408208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N391119423208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N369119412208,2018,F,Environmental Studies,"Philosophy, Politics and Economics",NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308119424209,2018,F,Psychology,Economics,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311119412208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381119425207,2018,F,Psychology,Economics,NA,NA,NA,NA,C,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312119408209,2018,F,Environmental Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378119413207,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319119423208,2018,F,Life Sciences,Physical Sciences,NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317119423219,2018,F,Life Sciences,Arts & Humanities,NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322119401219,2018,F,Undecided,Physical Sciences,NA,NA,760,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372119423209,2018,F,Anthropology,History,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379119412207,2018,F,Undecided,Economics,NA,NA,530,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321119410208,2018,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N358119414208,2018,F,Literature,Literature,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N388119410208,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384119418208,2018,F,Literature,"Philosophy, Politics and Economics",NA,NA,690,NA,,,,,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N365119421208,2018,M,Environmental Studies,Life Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393119418208,2018,F,Undecided,Undecided,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N389119408208,2018,F,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352119425209,2018,F,Life Sciences,Arts & Humanities,780,790,800,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310119413208,2018,F,Environmental Studies,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397119410208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376119418207,2018,F,Physical Sciences,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321118418223,2018,M,Philosophy,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367119414208,2018,M,Urban Studies,Economics,NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360119401208,2018,M,Life Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,760,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA
N339119418208,2018,M,Arts & Humanities,Undecided,NA,NA,NA,NA,C,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N398119410207,2018,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333119413212,2018,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379119412216,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N365119418209,2018,F,Arts & Humanities,Urban Studies,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N362119425208,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333119402209,2018,F,Psychology,History,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303119408209,2018,F,Anthropology,Urban Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307119402208,2018,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340119408208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,720,NA,,,,,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360116405246,2018,F,Environmental Studies,Anthropology,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
