PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N361119402208,M,Singapore,ay1819,HISTORY,80.03652803,89.5,74,82.8637566,77,78.41222833,74.70705727,90,72.85714286,80,NA,20,33.33333333,100,40,50,66.66666667,60,33.33333333,66.66666667,50,66.66666667,57.14285714,20,33.33333333,0,0,60,100,,,60,66.66666667,100,65,79.16666667,91.66666667,80,87.5,100,100,66.66666667,85.71428571,80,91.66666667,60,87.5,90,100,NA,NA
N362119425208,F,Europe,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",79.03459874,65,66,89.4113757,88.8,82.55599169,76.01307784,83.33333333,87.14285714,76,NA,60,33.33333333,100,40,16.66666667,0,0,83.33333333,66.66666667,50,66.66666667,71.42857143,20,16.66666667,80,66.66666667,80,75,,,50,75,100,90,87.5,100,80,91.66666667,100,100,83.33333333,78.57142857,100,91.66666667,90,91.66666667,100,100,NA,NA
N363119424208,F,Singapore,ay1819,LITERATURE,75.14816257,78.5,53,84.8809524,72.7,69.10057845,73.26944049,90,71.78571429,80,NA,20,33.33333333,60,20,16.66666667,66.66666667,20,50,66.66666667,50,16.66666667,57.14285714,40,66.66666667,NA,100,60,75,,,70,50,100,65,87.5,100,75,75,87.5,100,100,67.85714286,70,100,90,100,90,100,NA,NA
N364119423208,F,Singapore,ay1819,ARTS AND HUMANITIES,74.71603529,86,75,90.0595238,63.3,75.50408015,77.92365149,86.66666667,70.35714286,54,NA,20,66.66666667,100,80,66.66666667,66.66666667,40,50,100,50,0,71.42857143,40,66.66666667,0,83.33333333,0,100,,,70,83.33333333,100,100,87.5,100,75,75,100,100,100,78.57142857,90,100,80,91.66666667,90,100,NA,NA
N365119421208,M,Singapore,ay1819,ENVIRONMENTAL STUDIES,83.78095606,88.5,75,88.6838624,83.8,81.74353142,76.85395251,93.33333333,85,84,NA,40,33.33333333,80,60,50,100,80,83.33333333,50,75,16.66666667,28.57142857,0,66.66666667,80,66.66666667,0,NA,,,70,66.66666667,100,100,62.5,100,85,87.5,100,100,83.33333333,82.14285714,90,91.66666667,90,100,100,87.5,NA,NA
N366119418208,M,Other,ay1819,LIFE SCIENCES,79.07209783,82.5,63,93.7433862,70,74.16473328,76.41337797,90,83.92857143,78.66666667,NA,100,33.33333333,100,80,0,50,60,66.66666667,100,100,66.66666667,14.28571429,0,0,0,66.66666667,80,0,,,100,100,100,85,75,100,100,91.66666667,100,100,100,60.71428571,90,100,85,100,100,100,NA,NA
N367119414208,M,North America,ay1819,URBAN STUDIES,82.07795873,82.5,68,86.792328,85.9,77.63068531,83.558537,93.33333333,77.14285714,85.33333333,NA,40,33.33333333,100,80,83.33333333,83.33333333,80,100,0,100,83.33333333,28.57142857,40,66.66666667,100,100,0,100,,,70,50,100,90,87.5,91.66666667,90,100,91.66666667,100,83.33333333,71.42857143,80,79.16666667,100,87.5,90,100,NA,NA
N368119413208,F,Other,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",75.08755956,65,59,79.2592593,74.8,81.84918706,69.49647394,88.33333333,79.28571429,78.66666667,NA,20,33.33333333,80,40,66.66666667,16.66666667,20,50,33.33333333,75,33.33333333,57.14285714,0,16.66666667,0,66.66666667,0,50,,,70,66.66666667,100,80,100,91.66666667,60,70.83333333,91.66666667,100,75,75,20,91.66666667,70,79.16666667,85,100,NA,NA
N369119412208,F,East Asia,ay1819,ENVIRONMENTAL STUDIES,82.89375168,93,79,95.0727513,78.1,74.7327135,82.84233812,80,79.28571429,80,NA,60,66.66666667,100,80,66.66666667,100,40,66.66666667,83.33333333,100,66.66666667,42.85714286,60,33.33333333,60,83.33333333,100,100,,,100,100,100,90,91.66666667,100,80,87.5,100,100,100,82.14285714,80,100,100,100,100,100,NA,NA
N370119402208,M,Other,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.19828755,82.5,59,86.2632275,88.25,64.49889144,76.63873224,76.66666667,85,84.66666667,NA,60,33.33333333,60,60,50,0,40,50,66.66666667,75,100,14.28571429,20,16.66666667,60,100,100,75,,,80,41.66666667,100,100,79.16666667,100,75,70.83333333,100,87.5,100,78.57142857,60,100,80,100,100,100,NA,NA
N371119425208,M,Other,ay1819,ECONOMICS,70.33519824,77,46,86.5873016,62.9,69.09062025,73.26585753,80,82.14285714,56,NA,20,0,100,40,66.66666667,83.33333333,60,33.33333333,66.66666667,50,66.66666667,14.28571429,0,0,0,66.66666667,40,100,,,55,58.33333333,100,90,79.16666667,100,85,79.16666667,100,100,91.66666667,78.57142857,70,100,90,91.66666667,90,100,NA,NA
N372119424208,M,Europe,ay1819,ECONOMICS,76.39220291,87.5,57,89.5568783,68.5,57.09180471,74.96566615,93.33333333,88.57142857,72.66666667,NA,40,33.33333333,100,40,0,66.66666667,0,50,100,50,33.33333333,0,0,50,100,66.66666667,80,100,,,75,100,100,80,79.16666667,100,80,91.66666667,91.66666667,100,100,92.85714286,90,83.33333333,65,83.33333333,100,100,NA,NA
N373119423208,F,Singapore,ay1819,ECONOMICS,82.25886177,96.5,73,93.8161376,76.2,79.17506658,80.55649062,88.33333333,73.92857143,78.66666667,NA,0,0,100,60,33.33333333,100,80,50,83.33333333,100,66.66666667,71.42857143,40,100,60,83.33333333,100,0,,,70,83.33333333,100,100,91.66666667,100,90,100,100,100,79.16666667,92.85714286,100,100,90,91.66666667,100,100,NA,NA
N376119414208,F,North America,ay1819,GLOBAL AFFAIRS,77.02458097,82.5,62,82.8637566,72.7,70.85283018,77.21156052,90,72.85714286,80,NA,20,33.33333333,80,40,33.33333333,66.66666667,60,83.33333333,66.66666667,75,0,14.28571429,80,83.33333333,60,83.33333333,80,75,,,60,66.66666667,100,65,79.16666667,91.66666667,80,87.5,100,100,66.66666667,85.71428571,80,91.66666667,60,87.5,90,100,NA,NA
N377119413208,M,Singapore,ay1819,ARTS AND HUMANITIES,82.26178718,NA,76,89.8743386,89.9,79.67212802,82.13408398,85,72.85714286,80,NA,40,33.33333333,100,60,50,83.33333333,80,50,NA,100,50,71.42857143,40,100,80,100,100,75,,,55,75,100,100,91.66666667,100,90,79.16666667,91.66666667,100,91.66666667,78.57142857,90,100,85,100,90,100,NA,NA
N378119412208,M,Singapore,ay1819,ECONOMICS,76.82503392,79,81,84.3783069,62.6,71.72949613,75.22131969,83.33333333,73.92857143,76.66666667,NA,20,33.33333333,80,20,50,66.66666667,40,50,66.66666667,50,NA,57.14285714,20,66.66666667,80,83.33333333,80,50,,,55,66.66666667,100,100,70.83333333,91.66666667,75,83.33333333,91.66666667,100,83.33333333,57.14285714,80,91.66666667,85,100,100,87.5,NA,NA
N379119410208,F,East Asia,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.64648186,96.5,89,93.6772487,75.64,82.38465054,84.790388,86.66666667,87.85714286,83.33333333,NA,80,66.66666667,100,80,100,83.33333333,60,50,100,100,50,42.85714286,60,100,80,83.33333333,0,100,,,90,83.33333333,100,90,100,100,90,91.66666667,100,100,83.33333333,92.85714286,85,100,90,100,90,100,NA,NA
N380119425208,M,East Asia,ay1819,ECONOMICS,85.47238865,100,84,87.3214286,86.2,89.35135083,83.61097856,83.33333333,71.42857143,82,NA,60,66.66666667,100,80,66.66666667,100,80,83.33333333,100,75,33.33333333,57.14285714,80,66.66666667,60,66.66666667,80,75,,,90,83.33333333,100,80,75,91.66666667,100,83.33333333,100,75,70.83333333,64.28571429,100,91.66666667,85,91.66666667,90,100,NA,NA
N381119424208,F,Singapore,ay1819,LITERATURE,67.99037804,48,NA,86.3822751,72,75.50408015,66.25622642,86.66666667,68.57142857,76,NA,0,0,80,40,0,50,0,50,16.66666667,NA,33.33333333,14.28571429,0,0,60,66.66666667,80,25,,,75,66.66666667,100,65,87.5,100,80,83.33333333,100,100,75,85.71428571,80,100,85,91.66666667,80,100,NA,NA
N382119423208,M,Singapore,ay1819,LITERATURE,78.6366339,71,72,92.3346561,85.9,72.95391143,74.76327696,83.33333333,74.28571429,80,NA,40,33.33333333,80,60,50,33.33333333,40,66.66666667,66.66666667,100,50,14.28571429,40,66.66666667,0,66.66666667,0,75,,,90,75,100,80,100,100,90,87.5,100,100,100,67.85714286,90,100,90,91.66666667,100,100,NA,NA
N383119421208,F,South Asia,ay1819,GLOBAL AFFAIRS,74.03627322,75.5,49,90.0595238,63.3,78.81660682,72.1788899,86.66666667,70.35714286,76.66666667,NA,20,66.66666667,80,40,33.33333333,0,20,66.66666667,33.33333333,75,83.33333333,28.57142857,0,33.33333333,60,0,60,75,,,70,83.33333333,100,100,87.5,100,75,75,100,100,100,78.57142857,90,100,80,91.66666667,90,100,NA,NA
N384119418208,F,Singapore,ay1819,LITERATURE,76.25198794,63,74,86.2632275,84.05,66.12486954,73.74982338,76.66666667,85,75.33333333,NA,40,0,80,60,66.66666667,33.33333333,20,50,50,75,50,42.85714286,40,83.33333333,40,83.33333333,20,50,,,80,41.66666667,100,100,79.16666667,100,75,70.83333333,100,87.5,100,78.57142857,60,100,80,100,100,100,NA,NA
N385119414208,F,North America,ay1819,GLOBAL AFFAIRS,67.76557776,58,39,83.5714286,74.8,78.00696017,77.27145407,80,87.85714286,40.66666667,NA,20,0,100,80,33.33333333,0,60,100,66.66666667,50,33.33333333,28.57142857,80,83.33333333,80,50,80,50,,,35,25,100,90,83.33333333,91.66666667,65,100,83.33333333,100,100,64.28571429,85,91.66666667,90,100,100,100,NA,NA
N386119413208,M,East Asia,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.85931655,80.5,77,93.8161376,76.2,80.45078136,78.71229934,88.33333333,73.92857143,80,NA,20,66.66666667,80,20,33.33333333,83.33333333,80,0,66.66666667,100,33.33333333,42.85714286,80,83.33333333,80,66.66666667,80,75,,,70,83.33333333,100,100,91.66666667,100,90,100,100,100,79.16666667,92.85714286,100,100,90,91.66666667,100,100,NA,NA
N387119412208,F,Singapore,ay1819,ARTS AND HUMANITIES,71.23109151,62,40,89.3716931,62.9,69.09062025,71.37406931,90,84.28571429,72.66666667,NA,0,33.33333333,80,40,66.66666667,50,0,33.33333333,50,25,66.66666667,42.85714286,20,33.33333333,60,100,0,50,,,75,75,100,90,70.83333333,100,85,87.5,100,100,62.5,92.85714286,90,100,90,100,90,100,NA,NA
N388119410208,M,Singapore,ay1819,ECONOMICS,89.43736685,96.5,91,92.3082011,88.8,85.26261558,87.70913312,83.33333333,81.42857143,94.66666667,NA,80,33.33333333,100,100,66.66666667,100,80,100,100,100,50,85.71428571,60,83.33333333,80,100,100,100,,,85,83.33333333,100,90,83.33333333,100,90,100,100,100,87.5,85.71428571,80,91.66666667,85,100,100,100,NA,NA
N389119408208,F,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",79.20942248,72,63,93.8161376,85.3,72.79649264,76.62344796,88.33333333,73.92857143,86,NA,40,66.66666667,100,80,50,16.66666667,40,16.66666667,66.66666667,100,33.33333333,28.57142857,60,33.33333333,40,66.66666667,80,75,,,70,83.33333333,100,100,91.66666667,100,90,100,100,100,79.16666667,92.85714286,100,100,90,91.66666667,100,100,NA,NA
N390119424208,M,Singapore,ay1819,PSYCHOLOGY,68.1209371,60,58,90.6415344,40.2,59.48987773,73.60161056,83.33333333,80.71428571,65.33333333,NA,0,66.66666667,NA,60,NA,66.66666667,40,66.66666667,66.66666667,25,66.66666667,42.85714286,0,33.33333333,NA,33.33333333,80,0,,,70,66.66666667,100,85,91.66666667,100,85,75,100,100,87.5,85.71428571,100,100,85,100,100,100,NA,NA
N391119423208,F,Singapore,ay1819,LITERATURE,76.97418998,71.5,56.5,94.8544974,72.7,75.89242895,74.53272679,86.66666667,83.57142857,76.66666667,NA,40,33.33333333,100,60,50,50,40,66.66666667,33.33333333,50,66.66666667,0,0,50,40,66.66666667,80,75,,,65,100,100,90,100,100,90,100,100,100,91.66666667,85.71428571,100,100,85,100,100,100,NA,NA
N392119421208,M,Singapore,ay1819,ECONOMICS,77.81693877,68.5,49,79.2592593,89.1,85.69141395,79.16187306,88.33333333,79.28571429,82,NA,60,66.66666667,100,20,33.33333333,66.66666667,40,50,50,50,83.33333333,71.42857143,40,66.66666667,80,83.33333333,60,100,,,70,66.66666667,100,80,100,91.66666667,60,70.83333333,91.66666667,100,75,75,20,91.66666667,70,79.16666667,85,100,NA,NA
N393119418208,F,Singapore,ay1819,Undecided,78.12472523,76,76.5,86.5608466,72.7,81.10825063,77.95295595,81.66666667,78.57142857,72,NA,60,33.33333333,80,60,66.66666667,66.66666667,40,66.66666667,83.33333333,75,50,42.85714286,0,0,60,83.33333333,100,75,,,90,83.33333333,100,100,83.33333333,91.66666667,80,83.33333333,100,100,75,71.42857143,45,87.5,90,87.5,90,100,NA,NA
N394119414208,M,South Asia,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",74.71792121,82.5,55,82.718254,74.1,75.67435314,76.32624847,83.33333333,74.28571429,67.33333333,NA,0,0,100,40,50,66.66666667,40,83.33333333,83.33333333,50,66.66666667,28.57142857,40,66.66666667,80,50,20,100,,,70,75,100,100,75,79.16666667,50,83.33333333,79.16666667,87.5,100,71.42857143,55,100,90,83.33333333,90,100,NA,NA
N396119412208,M,Singapore,ay1819,PHILOSOPHY,81.9965037,96.5,74,82.8637566,77,79.67212802,82.05879023,90,72.85714286,81.33333333,NA,40,33.33333333,100,80,50,66.66666667,80,83.33333333,83.33333333,100,50,42.85714286,80,83.33333333,60,83.33333333,100,75,,,60,66.66666667,100,65,79.16666667,91.66666667,80,87.5,100,100,66.66666667,85.71428571,80,91.66666667,60,87.5,90,100,NA,NA
N397119410208,F,Singapore,ay1819,LITERATURE,78.40684426,82.5,76.5,82.5132275,72.7,76.30518176,75.84409371,81.66666667,67.85714286,83.33333333,NA,20,0,100,40,33.33333333,66.66666667,60,66.66666667,83.33333333,25,100,42.85714286,0,66.66666667,0,66.66666667,80,75,,,55,83.33333333,100,100,62.5,100,90,91.66666667,83.33333333,100,66.66666667,53.57142857,45,100,85,91.66666667,90,87.5,NA,NA
N398119408208,M,Europe,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.0895036,97.5,72,89.8743386,72.7,75.89242895,84.35075446,85,72.85714286,76.66666667,NA,60,33.33333333,100,100,66.66666667,100,80,83.33333333,66.66666667,100,66.66666667,57.14285714,60,83.33333333,80,66.66666667,80,100,,,55,75,100,100,91.66666667,100,90,79.16666667,91.66666667,100,91.66666667,78.57142857,90,100,85,100,90,100,NA,NA
N399119405208,M,East Asia,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.47626382,79.5,69,87.037037,85.3,77.89935179,82.24279541,83.33333333,78.57142857,80,NA,40,33.33333333,100,80,50,83.33333333,40,33.33333333,83.33333333,75,66.66666667,42.85714286,80,100,80,100,100,100,,,70,66.66666667,100,90,83.33333333,91.66666667,65,66.66666667,91.66666667,100,91.66666667,75,90,100,85,100,100,100,NA,NA
N300119413209,M,South Asia,ay1819,ECONOMICS,78.60165545,65,58,89.5568783,87.7,78.65291546,77.00203548,93.33333333,88.57142857,76.66666667,NA,40,100,80,80,83.33333333,0,0,100,83.33333333,50,66.66666667,0,60,16.66666667,40,66.66666667,100,0,,,75,100,100,80,79.16666667,100,80,91.66666667,91.66666667,100,100,92.85714286,90,83.33333333,65,83.33333333,100,100,NA,NA
N301119412209,F,South Asia,ay1819,ECONOMICS,78.60190998,68.5,68,90.0595238,80.7,76.05616792,81.0747941,86.66666667,70.35714286,84.66666667,NA,40,33.33333333,100,60,33.33333333,83.33333333,60,50,83.33333333,75,50,85.71428571,80,100,60,83.33333333,40,100,,,70,83.33333333,100,100,87.5,100,75,75,100,100,100,78.57142857,90,100,80,91.66666667,90,100,NA,NA
N302119410209,M,Southeast Asia,ay1819,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.32445779,77.5,55,86.3822751,72,75.50408015,81.94803547,86.66666667,68.57142857,80,NA,60,66.66666667,80,20,83.33333333,83.33333333,80,100,83.33333333,75,50,71.42857143,40,100,60,50,80,50,,,75,66.66666667,100,65,87.5,100,80,83.33333333,100,100,75,85.71428571,80,100,85,91.66666667,80,100,NA,NA
N303119408209,F,Singapore,ay1819,ANTHROPOLOGY,73.30359116,48,62,86.3822751,80.7,74.95199237,73.3330873,86.66666667,68.57142857,80,NA,0,33.33333333,100,20,16.66666667,33.33333333,40,16.66666667,100,50,50,57.14285714,20,50,40,100,0,100,,,75,66.66666667,100,65,87.5,100,80,83.33333333,100,100,75,85.71428571,80,100,85,91.66666667,80,100,NA,NA
N304119405209,F,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",71.38385289,64,42,77.7612434,63.03,77.50671624,70.49917353,86.66666667,76.07142857,80,NA,60,0,80,60,33.33333333,NA,20,33.33333333,50,25,33.33333333,0,40,50,60,0,20,100,,,50,33.33333333,100,100,66.66666667,91.66666667,60,91.66666667,87.5,68.75,83.33333333,64.28571429,55,100,85,100,75,87.5,NA,NA
N305119401209,F,Singapore,ay1819,ANTHROPOLOGY,78.4103131,86,59,95.0727513,58.8,80.61301644,80.21929356,80,79.28571429,80,NA,60,100,100,20,50,83.33333333,20,33.33333333,83.33333333,100,33.33333333,0,60,83.33333333,80,83.33333333,100,75,,,100,100,100,90,91.66666667,100,80,87.5,100,100,100,82.14285714,80,100,100,100,100,100,NA,NA
N306119402209,M,Singapore,ay1819,HISTORY,72.15300642,52,44,86.3822751,85.3,70.24506307,73.09764515,83.33333333,75,78,NA,0,33.33333333,100,40,50,16.66666667,40,33.33333333,83.33333333,25,33.33333333,14.28571429,60,33.33333333,100,100,40,0,,,70,100,100,70,75,100,80,54.16666667,91.66666667,100,58.33333333,85.71428571,90,100,90,100,90,100,NA,NA
N307119425209,M,East Asia,ay1819,Undecided,74.07287839,68.5,54,82.8108466,58.8,76.69281448,75.8693098,86.66666667,84.64285714,76.66666667,NA,40,33.33333333,100,20,66.66666667,33.33333333,60,16.66666667,83.33333333,75,50,28.57142857,40,33.33333333,80,0,60,100,,,40,66.66666667,100,80,91.66666667,100,50,83.33333333,91.66666667,100,79.16666667,71.42857143,100,100,75,91.66666667,70,100,NA,NA
N308119424209,F,Singapore,ay1819,PSYCHOLOGY,76.73771412,75.5,73,80.2943122,62.6,79.96907225,77.72570555,90,70.71428571,80,NA,60,0,100,100,66.66666667,83.33333333,100,50,66.66666667,50,50,0,20,0,60,66.66666667,80,50,,,45,50,100,100,58.33333333,91.66666667,75,66.66666667,91.66666667,68.75,70.83333333,85.71428571,75,91.66666667,100,87.5,100,87.5,NA,NA
N309119423209,F,Singapore,ay1819,ANTHROPOLOGY,75.02702342,65.5,65,93.7433862,70,56.23434113,70.78005707,90,83.92857143,80,NA,60,33.33333333,100,20,50,83.33333333,40,16.66666667,66.66666667,0,33.33333333,28.57142857,40,50,0,0,40,25,,,100,100,100,85,75,100,100,91.66666667,100,100,100,60.71428571,90,100,85,100,100,100,NA,NA
N310119412209,F,Other,ay1819,GLOBAL AFFAIRS,74.59054991,78,65,82.5132275,59.8,77.50594898,71.23344471,81.66666667,67.85714286,80,NA,40,0,100,40,16.66666667,66.66666667,20,66.66666667,33.33333333,75,33.33333333,28.57142857,20,33.33333333,20,66.66666667,60,50,,,55,83.33333333,100,100,62.5,100,90,91.66666667,83.33333333,100,66.66666667,53.57142857,45,100,85,91.66666667,90,87.5,NA,NA
N311119410209,M,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",79.40245523,74.5,65,93.1018519,76.2,79.17506658,74.91269962,93.33333333,80.71428571,80.66666667,NA,20,0,100,60,33.33333333,83.33333333,40,83.33333333,33.33333333,75,16.66666667,14.28571429,60,83.33333333,60,0,60,75,,,100,100,100,100,91.66666667,91.66666667,75,87.5,83.33333333,100,91.66666667,75,100,100,90,100,90,100,NA,NA
N312119408209,F,Singapore,ay1819,ENVIRONMENTAL STUDIES,76.51169327,66,80,91.7724868,62.6,82.30745919,73.44588074,76.66666667,80,73.33333333,NA,20,33.33333333,100,60,33.33333333,33.33333333,0,50,83.33333333,75,33.33333333,28.57142857,40,0,NA,50,40,100,,,60,100,100,90,83.33333333,100,80,91.66666667,100,100,91.66666667,78.57142857,100,100,85,91.66666667,100,100,NA,NA
N313119405209,F,North America,ay1819,PSYCHOLOGY,78.87573495,75,60,88.6838624,74.1,83.76659085,74.98926135,93.33333333,85,78.66666667,NA,20,33.33333333,100,40,33.33333333,50,40,66.66666667,83.33333333,50,50,28.57142857,40,50,60,66.66666667,100,50,,,70,66.66666667,100,100,62.5,100,85,87.5,100,100,83.33333333,82.14285714,90,91.66666667,90,100,100,87.5,NA,NA
N314119401209,F,Singapore,ay1819,PSYCHOLOGY,76.24724811,68.5,70,82.4206349,70.4,77.14274391,72.21707963,93.33333333,74.28571429,80,NA,20,33.33333333,100,60,16.66666667,50,20,66.66666667,66.66666667,50,66.66666667,0,0,33.33333333,20,66.66666667,60,75,,,70,41.66666667,100,90,91.66666667,91.66666667,45,91.66666667,83.33333333,87.5,83.33333333,53.57142857,90,79.16666667,85,100,100,100,NA,NA
N315119402209,F,Singapore,ay1819,"PHILOSOPHY, POLITICS AND ECONOMICS",81.57239847,86,79,93.8161376,67.1,79.17506658,79.69794151,88.33333333,73.92857143,85.33333333,NA,20,33.33333333,100,40,66.66666667,83.33333333,60,NA,100,75,50,42.85714286,60,83.33333333,0,66.66666667,100,75,,,70,83.33333333,100,100,91.66666667,100,90,100,100,100,79.16666667,92.85714286,100,100,90,91.66666667,100,100,NA,NA
N316119425209,F,Singapore,ay1819,ANTHROPOLOGY,76.26374503,67,53,87.037037,76.2,83.00221094,75.74740862,83.33333333,78.57142857,80,NA,80,0,100,40,33.33333333,50,20,33.33333333,50,NA,66.66666667,28.57142857,60,83.33333333,100,50,60,50,,,70,66.66666667,100,90,83.33333333,91.66666667,65,66.66666667,91.66666667,100,91.66666667,75,90,100,85,100,100,100,NA,NA
N317119424209,M,Singapore,ay1819,HISTORY,75.87468596,60.5,67,86.7261905,67.24,77.50671624,80.6766215,73.33333333,83.57142857,80,NA,20,66.66666667,100,60,33.33333333,66.66666667,40,83.33333333,83.33333333,75,83.33333333,71.42857143,40,83.33333333,80,66.66666667,80,75,,,40,58.33333333,100,90,91.66666667,100,90,75,100,87.5,91.66666667,78.57142857,90,91.66666667,85,91.66666667,100,100,NA,NA
N318119423209,M,Singapore,ay1819,ANTHROPOLOGY,78.94411896,54.5,63,87.0238095,89.3,79.92078238,75.52421467,90,77.85714286,93.33333333,NA,0,33.33333333,100,60,16.66666667,33.33333333,20,66.66666667,83.33333333,0,83.33333333,28.57142857,20,66.66666667,60,100,80,75,,,100,100,100,75,75,91.66666667,80,70.83333333,79.16666667,100,91.66666667,71.42857143,60,91.66666667,80,100,100,100,NA,NA
N319119421209,F,North America,ay1819,GLOBAL AFFAIRS,84.56822207,86,67,88.8227513,89.1,85.69141395,85.20568788,86.66666667,90.71428571,83.33333333,NA,80,100,100,100,66.66666667,83.33333333,40,83.33333333,50,75,66.66666667,42.85714286,80,83.33333333,80,83.33333333,100,100,,,75,75,100,100,79.16666667,100,70,79.16666667,91.66666667,100,87.5,82.14285714,90,87.5,90,91.66666667,100,100,NA,NA
N320119410209,F,Other,ay1819,GLOBAL AFFAIRS,71.78325383,58,48,82.8108466,68.5,64.93220862,71.93404873,86.66666667,84.64285714,78.66666667,NA,80,0,100,20,33.33333333,33.33333333,40,100,33.33333333,50,16.66666667,14.28571429,0,16.66666667,0,83.33333333,40,100,,,40,66.66666667,100,80,91.66666667,100,50,83.33333333,91.66666667,100,79.16666667,71.42857143,100,100,75,91.66666667,70,100,NA,NA
N321119408209,M,East Asia,ay1819,ENVIRONMENTAL STUDIES,79.47462474,93,89,87.8637566,63.3,76.6082557,85.75113891,83.33333333,77.5,62,NA,60,66.66666667,100,80,83.33333333,100,100,50,83.33333333,100,66.66666667,85.71428571,40,66.66666667,100,83.33333333,100,75,,,55,100,100,90,91.66666667,100,100,66.66666667,91.66666667,100,83.33333333,85.71428571,55,79.16666667,100,83.33333333,100,100,NA,NA
N322119405209,M,Southeast Asia,ay1819,ECONOMICS,85.78031262,92,83,86.792328,85.9,77.63068531,79.80185823,93.33333333,77.14285714,94.66666667,NA,60,33.33333333,80,80,66.66666667,83.33333333,0,66.66666667,83.33333333,75,50,42.85714286,40,66.66666667,80,66.66666667,100,75,,,70,50,100,90,87.5,91.66666667,90,100,91.66666667,100,83.33333333,71.42857143,80,79.16666667,100,87.5,90,100,NA,NA
N323119401209,F,Singapore,ay1819,Undecided,86.93582636,89.5,76,89.5568783,87.7,88.45342035,79.23519884,93.33333333,88.57142857,92,NA,40,100,100,20,50,83.33333333,0,50,83.33333333,75,66.66666667,85.71428571,60,66.66666667,40,0,100,50,,,75,100,100,80,79.16666667,100,80,91.66666667,91.66666667,100,100,92.85714286,90,83.33333333,65,83.33333333,100,100,NA,NA
N324119402209,M,Singapore,ay1819,HISTORY,72.61554113,69,49,90.0595238,63.3,73.84781681,66.36586641,86.66666667,70.35714286,80,NA,0,0,100,20,16.66666667,33.33333333,0,0,50,50,33.33333333,0,0,33.33333333,40,100,0,50,,,70,83.33333333,100,100,87.5,100,75,75,100,100,100,78.57142857,90,100,80,91.66666667,90,100,NA,NA
N325119425209,F,Singapore,ay1819,Undecided,80.1562807,78.5,60.5,94.8544974,81.3,78.41222833,77.82100266,86.66666667,83.57142857,80,NA,60,33.33333333,60,60,66.66666667,83.33333333,40,66.66666667,33.33333333,100,66.66666667,28.57142857,40,50,60,0,80,100,,,65,100,100,90,100,100,90,100,100,100,91.66666667,85.71428571,100,100,85,100,100,100,NA,NA
N326119424209,M,Singapore,ay1819,PHILOSOPHY,82.63642953,89.5,77,93.7433862,74.8,75.44547558,80.91161618,90,83.92857143,80,NA,0,33.33333333,100,80,33.33333333,83.33333333,60,83.33333333,100,75,50,71.42857143,40,0,80,83.33333333,80,100,,,100,100,100,85,75,100,100,91.66666667,100,100,100,60.71428571,90,100,85,100,100,100,NA,NA
N327119423209,F,Other,ay1819,LIFE SCIENCES,80.86218981,78.5,NA,93.1018519,71.7,81.72649615,83.29368577,93.33333333,80.71428571,80.66666667,NA,80,66.66666667,100,80,50,100,60,50,83.33333333,75,66.66666667,57.14285714,20,100,80,NA,100,50,,,100,100,100,100,91.66666667,91.66666667,75,87.5,83.33333333,100,91.66666667,75,100,100,90,100,90,100,NA,NA
N328119421209,F,Singapore,ay1819,LITERATURE,76.07793531,72,73,87.3214286,74.5,69.09062025,73.85525124,83.33333333,71.42857143,77.33333333,NA,40,0,100,20,16.66666667,50,20,50,66.66666667,50,16.66666667,42.85714286,0,66.66666667,80,83.33333333,80,100,,,90,83.33333333,100,80,75,91.66666667,100,83.33333333,100,75,70.83333333,64.28571429,100,91.66666667,85,91.66666667,90,100,NA,NA
N329119418209,F,South Asia,ay1819,PSYCHOLOGY,76.89403081,72,63,84.3783069,75.7,71.72949613,77.56202622,83.33333333,73.92857143,84.66666667,NA,20,66.66666667,80,60,66.66666667,100,40,50,66.66666667,100,50,28.57142857,60,66.66666667,40,66.66666667,80,50,,,55,66.66666667,100,100,70.83333333,91.66666667,75,83.33333333,91.66666667,100,83.33333333,57.14285714,80,91.66666667,85,100,100,87.5,NA,NA
